
 Results 
=====

Correctly Classified Instances           0                0      %
Incorrectly Classified Instances        27              100      %
Kappa statistic                         -0.0611
K&B Relative Info Score                 27.3937 %
K&B Information Score                    1.2097 bits      0.0448 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme            27925.585  bits   1034.2809 bits/instance
Complexity improvement     (Sf)     -27787.0175 bits  -1029.1488 bits/instance
Mean absolute error                      0.0898
Root mean squared error                  0.2495
Relative absolute error                101.9511 %
Root relative squared error            117.8584 %
Coverage of cases (0.95 level)           3.7037 %
Mean rel. region size (0.95 level)      14.1414 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.115    0.000      0.000    0.000      -0.069   0.385     0.037     192
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.462     0.037     193
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.481     0.037     194
                 0.000    0.200    0.000      0.000    0.000      -0.135   0.320     0.074     195
                 0.000    0.000    0.000      0.000    0.000      0.000    0.481     0.037     196
                 0.000    0.115    0.000      0.000    0.000      -0.069   0.423     0.037     197
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.462     0.037     198
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.462     0.037     199
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.385     0.037     200
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.481     0.037     201
                 0.000    0.000    0.000      0.000    0.000      0.000    0.385     0.037     202
                 0.000    0.000    0.000      0.000    0.000      0.000    0.404     0.037     203
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.404     0.037     204
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.462     0.037     205
                 0.000    0.040    0.000      0.000    0.000      -0.055   0.480     0.074     206
                 0.000    0.000    0.000      0.000    0.000      0.000    0.365     0.037     207
                 0.000    0.000    0.000      0.000    0.000      0.000    0.481     0.037     208
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.037     209
                 0.000    0.167    0.000      0.000    0.000      -0.147   0.542     0.141     210
                 0.000    0.000    0.000      0.000    0.000      0.000    0.365     0.037     211
                 0.000    0.000    0.000      0.000    0.000      0.000    0.481     0.037     212
                 0.000    0.040    0.000      0.000    0.000      -0.055   0.400     0.074     213
Weighted Avg.    0.000    0.062    0.000      0.000    0.000      -0.052   0.438     0.057     
