
 Results 
=====

Correctly Classified Instances          17               48.5714 %
Incorrectly Classified Instances        18               51.4286 %
Kappa statistic                          0.3793
K&B Relative Info Score               1177.9095 %
K&B Information Score                   45.8212 bits      1.3092 bits/instance
Class complexity | order 0             144.1581 bits      4.1188 bits/instance
Class complexity | scheme            15057.7587 bits    430.2217 bits/instance
Complexity improvement     (Sf)     -14913.6006 bits   -426.1029 bits/instance
Mean absolute error                      0.0723
Root mean squared error                  0.1964
Relative absolute error                 71.1299 %
Root relative squared error             87.2229 %
Coverage of cases (0.95 level)          60      %
Mean rel. region size (0.95 level)      38.0952 %
Total Number of Instances               35     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.206     0.029     106
                 0.000    0.000    0.000      0.000    0.000      0.000    0.382     0.029     107
                 0.500    0.000    1.000      0.500    0.667      0.697    0.985     0.833     108
                 0.000    0.000    0.000      0.000    0.000      0.000    0.147     0.029     109
                 0.000    0.000    0.000      0.000    0.000      0.000    0.382     0.029     110
                 0.667    0.031    0.667      0.667    0.667      0.635    0.714     0.695     111
                 0.000    0.059    0.000      0.000    0.000      -0.042   0.147     0.029     112
                 0.667    0.423    0.353      0.667    0.462      0.213    0.741     0.640     113
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     114
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.103     0.029     115
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.191     0.029     116
                 0.000    0.000    0.000      0.000    0.000      0.000    0.235     0.029     117
                 0.000    0.000    0.000      0.000    0.000      0.000    0.118     0.029     118
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     119
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.162     0.029     120
                 0.000    0.000    0.000      0.000    0.000      0.000    0.235     0.029     121
                 0.000    0.000    0.000      0.000    0.000      0.000    0.309     0.029     122
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.221     0.029     123
Weighted Avg.    0.486    0.117    0.434      0.486    0.442      0.373    0.618     0.511     
