
 Results 
=====

Correctly Classified Instances           5               23.8095 %
Incorrectly Classified Instances        16               76.1905 %
Kappa statistic                          0.1704
K&B Relative Info Score                397.7847 %
K&B Information Score                   15.6557 bits      0.7455 bits/instance
Class complexity | order 0              97.5895 bits      4.6471 bits/instance
Class complexity | scheme            12913.709  bits    614.9385 bits/instance
Complexity improvement     (Sf)     -12816.1195 bits   -610.2914 bits/instance
Mean absolute error                      0.1096
Root mean squared error                  0.2453
Relative absolute error                 91.5461 %
Root relative squared error             99.0566 %
Coverage of cases (0.95 level)          33.3333 %
Mean rel. region size (0.95 level)      54.7619 %
Total Number of Instances               21     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.158    0.000      0.000    0.000      -0.132   0.316     0.092     160
                 0.500    0.105    0.333      0.500    0.400      0.331    0.789     0.268     161
                 0.000    0.050    0.000      0.000    0.000      -0.050   0.150     0.048     162
                 0.000    0.053    0.000      0.000    0.000      -0.073   0.039     0.074     163
                 0.000    0.000    0.000      0.000    0.000      0.000    0.075     0.048     164
                 0.000    0.050    0.000      0.000    0.000      -0.050   0.075     0.048     165
                 0.000    0.000    0.000      0.000    0.000      0.000    0.300     0.048     166
                 0.000    0.000    0.000      0.000    0.000      0.000    0.150     0.048     167
                 0.000    0.050    0.000      0.000    0.000      -0.050   0.050     0.048     168
                 0.000    0.000    0.000      0.000    0.000      0.000    0.200     0.048     169
                 0.000    0.050    0.000      0.000    0.000      -0.050   0.050     0.048     170
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     171
                 0.000    0.000    0.000      0.000    0.000      0.000    0.250     0.048     172
                 0.000    0.000    0.000      0.000    0.000      0.000    0.100     0.048     157
                 1.000    0.211    0.333      1.000    0.500      0.513    1.000     1.000     158
                 0.000    0.100    0.000      0.000    0.000      -0.073   0.050     0.048     159
Weighted Avg.    0.238    0.064    0.159      0.238    0.181      0.143    0.369     0.257     
