
 Results 
=====

Correctly Classified Instances           4               14.8148 %
Incorrectly Classified Instances        23               85.1852 %
Kappa statistic                          0.0921
K&B Relative Info Score                241.7533 %
K&B Information Score                   10.676  bits      0.3954 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme            20430.3561 bits    756.6799 bits/instance
Complexity improvement     (Sf)     -20291.7887 bits   -751.5477 bits/instance
Mean absolute error                      0.0856
Root mean squared error                  0.2191
Relative absolute error                 97.1466 %
Root relative squared error            103.4619 %
Coverage of cases (0.95 level)          29.6296 %
Mean rel. region size (0.95 level)      48.6532 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.135     0.037     192
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.077     0.037     193
                 0.000    0.000    0.000      0.000    0.000      0.000    0.250     0.037     194
                 0.000    0.160    0.000      0.000    0.000      -0.118   0.360     0.081     195
                 0.000    0.000    0.000      0.000    0.000      0.000    0.288     0.037     196
                 0.000    0.000    0.000      0.000    0.000      0.000    0.327     0.037     197
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.096     0.037     198
                 0.000    0.000    0.000      0.000    0.000      0.000    0.269     0.037     199
                 0.000    0.000    0.000      0.000    0.000      0.000    0.154     0.037     200
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.212     0.037     201
                 0.000    0.000    0.000      0.000    0.000      0.000    0.192     0.037     202
                 0.000    0.115    0.000      0.000    0.000      -0.069   0.077     0.037     203
                 0.000    0.115    0.000      0.000    0.000      -0.069   0.154     0.037     204
                 0.000    0.000    0.000      0.000    0.000      0.000    0.250     0.037     205
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     206
                 0.000    0.000    0.000      0.000    0.000      0.000    0.250     0.037     207
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.096     0.037     208
                 0.000    0.000    0.000      0.000    0.000      0.000    0.192     0.037     209
                 0.667    0.167    0.333      0.667    0.444      0.378    0.840     0.733     210
                 0.000    0.115    0.000      0.000    0.000      -0.069   0.058     0.037     211
                 0.000    0.000    0.000      0.000    0.000      0.000    0.212     0.037     212
                 0.000    0.000    0.000      0.000    0.000      0.000    0.240     0.066     213
Weighted Avg.    0.148    0.052    0.111      0.148    0.123      0.092    0.334     0.191     
