
 Results 
=====

Correctly Classified Instances          14               40      %
Incorrectly Classified Instances        21               60      %
Kappa statistic                          0.2751
K&B Relative Info Score               1362.8565 %
K&B Information Score                   53.0157 bits      1.5147 bits/instance
Class complexity | order 0             144.1581 bits      4.1188 bits/instance
Class complexity | scheme              176.9434 bits      5.0555 bits/instance
Complexity improvement     (Sf)        -32.7854 bits     -0.9367 bits/instance
Mean absolute error                      0.0706
Root mean squared error                  0.2013
Relative absolute error                 69.494  %
Root relative squared error             89.423  %
Coverage of cases (0.95 level)          82.8571 %
Mean rel. region size (0.95 level)      41.746  %
Total Number of Instances               35     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.100     106
                 0.000    0.000    0.000      0.000    0.000      0.000    0.676     0.083     107
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.833     108
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     109
                 0.000    0.000    0.000      0.000    0.000      0.000    0.441     0.050     110
                 0.667    0.063    0.500      0.667    0.571      0.532    0.677     0.696     111
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.662     0.077     112
                 0.444    0.500    0.235      0.444    0.308      -0.049   0.673     0.596     113
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     114
                 0.000    0.000    0.000      0.000    0.000      0.000    0.912     0.250     115
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.912     0.250     116
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.056     117
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.221     0.036     118
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     119
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.471     0.053     120
                 0.000    0.000    0.000      0.000    0.000      0.000    0.765     0.111     121
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.588     0.067     122
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.765     0.111     123
Weighted Avg.    0.400    0.139    0.332      0.400    0.357      0.257    0.763     0.553     
