
 Results 
=====

Correctly Classified Instances          18               54.5455 %
Incorrectly Classified Instances        15               45.4545 %
Kappa statistic                          0.4844
K&B Relative Info Score               1747.8482 %
K&B Information Score                   69.7133 bits      2.1125 bits/instance
Class complexity | order 0             144.2878 bits      4.3724 bits/instance
Class complexity | scheme              165.7811 bits      5.0237 bits/instance
Complexity improvement     (Sf)        -21.4933 bits     -0.6513 bits/instance
Mean absolute error                      0.0682
Root mean squared error                  0.1852
Relative absolute error                 65.4506 %
Root relative squared error             80.8436 %
Coverage of cases (0.95 level)          84.8485 %
Mean rel. region size (0.95 level)      40.9091 %
Total Number of Instances               33     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.031    0.000      0.000    0.000      -0.031   0.969     0.500     138
                 0.857    0.231    0.500      0.857    0.632      0.532    0.912     0.860     139
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     140
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     141
                 0.000    0.000    0.000      0.000    0.000      0.000    0.250     0.040     142
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     143
                 0.000    0.000    0.000      0.000    0.000      0.000    0.938     0.333     144
                 0.000    0.031    0.000      0.000    0.000      -0.031   0.531     0.063     145
                 0.000    0.031    0.000      0.000    0.000      -0.031   0.906     0.250     146
                 0.000    0.032    0.000      0.000    0.000      -0.045   0.484     0.087     147
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     148
                 0.000    0.129    0.000      0.000    0.000      -0.094   0.177     0.054     149
                 0.000    0.000    0.000      0.000    0.000      0.000    0.875     0.200     150
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.053     151
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     152
                 0.000    0.031    0.000      0.000    0.000      -0.031   0.875     0.200     153
                 0.000    0.000    0.000      0.000    0.000      0.000    0.906     0.250     154
                 0.500    0.000    1.000      0.500    0.667      0.696    0.968     0.750     155
Weighted Avg.    0.545    0.063    0.500      0.545    0.508      0.476    0.828     0.627     
