
 Results 
=====

Correctly Classified Instances          16               45.7143 %
Incorrectly Classified Instances        19               54.2857 %
Kappa statistic                          0.3612
K&B Relative Info Score               1036.0047 %
K&B Information Score                   40.301  bits      1.1515 bits/instance
Class complexity | order 0             144.1581 bits      4.1188 bits/instance
Class complexity | scheme            18275.9184 bits    522.1691 bits/instance
Complexity improvement     (Sf)     -18131.7603 bits   -518.0503 bits/instance
Mean absolute error                      0.0785
Root mean squared error                  0.2165
Relative absolute error                 77.242  %
Root relative squared error             96.1883 %
Coverage of cases (0.95 level)          51.4286 %
Mean rel. region size (0.95 level)      20.4762 %
Total Number of Instances               35     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.059    0.000      0.000    0.000      -0.042   0.426     0.029     106
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.029     107
                 1.000    0.091    0.400      1.000    0.571      0.603    0.917     0.325     108
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.029     109
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.029     110
                 0.667    0.000    1.000      0.667    0.800      0.804    0.797     0.695     111
                 0.000    0.059    0.000      0.000    0.000      -0.042   0.441     0.029     112
                 0.667    0.231    0.500      0.667    0.571      0.401    0.637     0.562     113
                 1.000    0.069    0.750      1.000    0.857      0.836    0.945     0.750     114
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.029     115
                 0.000    0.000    0.000      0.000    0.000      0.000    0.397     0.029     116
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.029     117
                 0.000    0.000    0.000      0.000    0.000      0.000    0.441     0.029     118
                 0.000    0.121    0.000      0.000    0.000      -0.088   0.879     0.333     119
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.029     120
                 0.000    0.000    0.000      0.000    0.000      0.000    0.397     0.029     121
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.029     122
                 0.000    0.000    0.000      0.000    0.000      0.000    0.353     0.029     123
Weighted Avg.    0.457    0.087    0.366      0.457    0.395      0.342    0.650     0.381     
