
 Results 
=====

Correctly Classified Instances           8               29.6296 %
Incorrectly Classified Instances        19               70.3704 %
Kappa statistic                          0.25  
K&B Relative Info Score                720.7585 %
K&B Information Score                   31.8293 bits      1.1789 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme              635.6775 bits     23.5436 bits/instance
Complexity improvement     (Sf)       -497.11   bits    -18.4115 bits/instance
Mean absolute error                      0.0725
Root mean squared error                  0.2285
Relative absolute error                 82.349  %
Root relative squared error            107.9306 %
Coverage of cases (0.95 level)          33.3333 %
Mean rel. region size (0.95 level)      11.6162 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.731     0.125     192
                 0.000    0.192    0.000      0.000    0.000      -0.093   0.538     0.077     193
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.731     0.125     194
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     195
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.769     0.143     196
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.538     0.077     197
                 0.000    0.000    0.000      0.000    0.000      0.000    0.654     0.091     198
                 0.000    0.000    0.000      0.000    0.000      0.000    0.654     0.091     199
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.731     0.125     200
                 0.000    0.000    0.000      0.000    0.000      0.000    0.731     0.125     201
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.731     0.125     202
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.731     0.125     203
                 0.000    0.000    0.000      0.000    0.000      0.000    0.654     0.091     204
                 0.000    0.000    0.000      0.000    0.000      0.000    0.538     0.077     205
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     206
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     207
                 0.000    0.000    0.000      0.000    0.000      0.000    0.558     0.077     208
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.577     0.083     209
                 1.000    0.167    0.429      1.000    0.600      0.598    0.861     0.337     210
                 0.000    0.000    0.000      0.000    0.000      0.000    0.596     0.083     211
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     212
                 0.000    0.000    0.000      0.000    0.000      0.000    0.200     0.068     213
Weighted Avg.    0.296    0.040    0.233      0.296    0.252      0.235    0.719     0.307     
