
 Results 
=====

Correctly Classified Instances           6               22.2222 %
Incorrectly Classified Instances        21               77.7778 %
Kappa statistic                          0.1771
K&B Relative Info Score                872.5111 %
K&B Information Score                   38.5308 bits      1.4271 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme              284.4489 bits     10.5351 bits/instance
Complexity improvement     (Sf)       -145.8815 bits     -5.403  bits/instance
Mean absolute error                      0.078 
Root mean squared error                  0.2215
Relative absolute error                 88.5864 %
Root relative squared error            104.6256 %
Coverage of cases (0.95 level)          62.963  %
Mean rel. region size (0.95 level)      27.7778 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.442     0.063     60
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.385     0.059     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.462     0.067     62
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.385     0.059     63
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.962     0.500     64
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.462     0.067     65
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.423     0.063     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.890     0.325     67
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.538     0.077     68
                 1.000    0.083    0.600      1.000    0.750      0.742    0.958     0.639     69
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.269     0.050     70
                 0.000    0.080    0.000      0.000    0.000      -0.080   0.880     0.325     71
                 0.000    0.040    0.000      0.000    0.000      -0.055   0.880     0.325     72
                 0.000    0.000    0.000      0.000    0.000      0.000    0.731     0.125     73
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     74
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.615     0.091     75
                 0.000    0.000    0.000      0.000    0.000      0.000    0.885     0.250     76
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     77
                 1.000    0.077    0.333      1.000    0.500      0.555    1.000     1.000     78
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     79
                 0.000    0.000    0.000      0.000    0.000      0.000    0.423     0.063     80
                 0.000    0.000    0.000      0.000    0.000      0.000    0.885     0.250     81
Weighted Avg.    0.222    0.041    0.153      0.222    0.176      0.151    0.741     0.339     
