
 Results 
=====

Correctly Classified Instances           5               18.5185 %
Incorrectly Classified Instances        22               81.4815 %
Kappa statistic                          0.1379
K&B Relative Info Score                389.3736 %
K&B Information Score                   17.1951 bits      0.6369 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme            21492.0518 bits    796.0019 bits/instance
Complexity improvement     (Sf)     -21353.4844 bits   -790.8698 bits/instance
Mean absolute error                      0.0828
Root mean squared error                  0.2152
Relative absolute error                 93.9734 %
Root relative squared error            101.614  %
Coverage of cases (0.95 level)          25.9259 %
Mean rel. region size (0.95 level)      47.3064 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.192     0.037     192
                 0.000    0.115    0.000      0.000    0.000      -0.069   0.288     0.037     193
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.173     0.037     194
                 0.500    0.080    0.333      0.500    0.400      0.350    0.920     0.450     195
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.115     0.037     196
                 0.000    0.000    0.000      0.000    0.000      0.000    0.308     0.037     197
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.269     0.037     198
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.269     0.037     199
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.135     0.037     200
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.192     0.037     201
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.135     0.037     202
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.058     0.037     203
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.192     0.037     204
                 0.000    0.000    0.000      0.000    0.000      0.000    0.192     0.037     205
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     206
                 0.000    0.000    0.000      0.000    0.000      0.000    0.135     0.037     207
                 0.000    0.115    0.000      0.000    0.000      -0.069   0.212     0.037     208
                 0.000    0.000    0.000      0.000    0.000      0.000    0.173     0.037     209
                 0.667    0.042    0.667      0.667    0.667      0.625    0.986     0.917     210
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.115     0.037     211
                 0.000    0.000    0.000      0.000    0.000      0.000    0.173     0.037     212
                 0.000    0.080    0.000      0.000    0.000      -0.080   0.060     0.074     213
Weighted Avg.    0.185    0.041    0.173      0.185    0.178      0.144    0.379     0.239     
