
 Results 
=====

Correctly Classified Instances          12               44.4444 %
Incorrectly Classified Instances        15               55.5556 %
Kappa statistic                          0.4122
K&B Relative Info Score               1685.6555 %
K&B Information Score                   74.4399 bits      2.757  bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme               98.7279 bits      3.6566 bits/instance
Complexity improvement     (Sf)         39.8396 bits      1.4755 bits/instance
Mean absolute error                      0.0655
Root mean squared error                  0.1778
Relative absolute error                 74.3999 %
Root relative squared error             83.9873 %
Coverage of cases (0.95 level)          96.2963 %
Mean rel. region size (0.95 level)      45.7912 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.077    0.333      1.000    0.500      0.555    0.923     0.333     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.808     0.167     61
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.308     0.053     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.885     0.250     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.885     0.250     65
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     66
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     67
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.808     0.167     68
                 0.667    0.042    0.667      0.667    0.667      0.625    0.986     0.917     69
                 0.000    0.000    0.000      0.000    0.000      0.000    0.885     0.250     70
                 0.500    0.040    0.500      0.500    0.500      0.460    0.980     0.833     71
                 1.000    0.040    0.667      1.000    0.800      0.800    1.000     1.000     72
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.885     0.250     73
                 1.000    0.038    0.500      1.000    0.667      0.693    0.962     0.500     74
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.923     0.333     75
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     76
                 1.000    0.115    0.250      1.000    0.400      0.470    1.000     1.000     77
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     78
                 0.000    0.000    0.000      0.000    0.000      0.000    0.923     0.333     79
                 0.000    0.000    0.000      0.000    0.000      0.000    0.885     0.250     80
                 0.000    0.000    0.000      0.000    0.000      0.000    0.846     0.200     81
Weighted Avg.    0.444    0.028    0.349      0.444    0.377      0.368    0.917     0.583     
