
 Results 
=====

Correctly Classified Instances          26               54.1667 %
Incorrectly Classified Instances        22               45.8333 %
Kappa statistic                          0.4307
K&B Relative Info Score               1989.0207 %
K&B Information Score                   79.6497 bits      1.6594 bits/instance
Class complexity | order 0             193.3196 bits      4.0275 bits/instance
Class complexity | scheme              248.1374 bits      5.1695 bits/instance
Complexity improvement     (Sf)        -54.8178 bits     -1.142  bits/instance
Mean absolute error                      0.0509
Root mean squared error                  0.1718
Relative absolute error                 62.6952 %
Root relative squared error             85.96   %
Coverage of cases (0.95 level)          77.0833 %
Mean rel. region size (0.95 level)      30.3977 %
Total Number of Instances               48     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     83
                 0.000    0.000    0.000      0.000    0.000      0.000    0.745     0.077     84
                 0.846    0.314    0.500      0.846    0.629      0.474    0.884     0.777     85
                 0.000    0.043    0.000      0.000    0.000      -0.030   0.426     0.036     86
                 0.833    0.056    0.833      0.833    0.833      0.778    0.859     0.879     87
                 0.000    0.000    0.000      0.000    0.000      0.000    0.340     0.031     88
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.333     89
                 1.000    0.022    0.667      1.000    0.800      0.808    0.978     0.583     90
                 0.000    0.000    0.000      0.000    0.000      0.000    0.565     0.068     91
                 0.000    0.000    0.000      0.000    0.000      0.000    0.617     0.053     92
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.936     0.250     93
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.660     0.059     94
                 0.000    0.000    0.000      0.000    0.000      0.000    0.383     0.033     95
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.036     96
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.936     0.250     97
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.745     0.077     98
                 0.000    0.000    0.000      0.000    0.000      0.000    0.936     0.250     99
                 0.000    0.000    0.000      0.000    0.000      0.000    0.702     0.067     100
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.362     0.032     101
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.936     0.250     102
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     103
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     104
Weighted Avg.    0.542    0.103    0.434      0.542    0.474      0.416    0.812     0.579     
