
 Results 
=====

Correctly Classified Instances          12               34.2857 %
Incorrectly Classified Instances        23               65.7143 %
Kappa statistic                          0.199 
K&B Relative Info Score                854.229  %
K&B Information Score                   33.2299 bits      0.9494 bits/instance
Class complexity | order 0             144.1581 bits      4.1188 bits/instance
Class complexity | scheme            19352.5576 bits    552.9302 bits/instance
Complexity improvement     (Sf)     -19208.3995 bits   -548.8114 bits/instance
Mean absolute error                      0.0811
Root mean squared error                  0.2383
Relative absolute error                 79.789  %
Root relative squared error            105.8614 %
Coverage of cases (0.95 level)          48.5714 %
Mean rel. region size (0.95 level)      19.5238 %
Total Number of Instances               35     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.485     0.029     106
                 0.000    0.059    0.000      0.000    0.000      -0.042   0.426     0.029     107
                 1.000    0.061    0.500      1.000    0.667      0.685    0.939     0.500     108
                 0.000    0.000    0.000      0.000    0.000      0.000    0.397     0.029     109
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.029     110
                 0.000    0.031    0.000      0.000    0.000      -0.053   0.438     0.086     111
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.265     0.029     112
                 0.778    0.500    0.350      0.778    0.483      0.245    0.647     0.359     113
                 0.500    0.000    1.000      0.500    0.667      0.673    0.805     0.646     114
                 0.000    0.000    0.000      0.000    0.000      0.000    0.485     0.029     115
                 0.000    0.000    0.000      0.000    0.000      0.000    0.235     0.029     116
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.029     117
                 0.000    0.000    0.000      0.000    0.000      0.000    0.456     0.029     118
                 0.000    0.121    0.000      0.000    0.000      -0.088   0.879     0.333     119
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.029     120
                 0.000    0.000    0.000      0.000    0.000      0.000    0.456     0.029     121
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.029     122
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.029     123
Weighted Avg.    0.343    0.144    0.290      0.343    0.277      0.206    0.602     0.269     
