
 Results 
=====

Correctly Classified Instances          27               42.1875 %
Incorrectly Classified Instances        37               57.8125 %
Kappa statistic                          0.3638
K&B Relative Info Score               3171.0766 %
K&B Information Score                  159.1523 bits      2.4868 bits/instance
Class complexity | order 0             341.6018 bits      5.3375 bits/instance
Class complexity | scheme              833.9727 bits     13.0308 bits/instance
Complexity improvement     (Sf)       -492.371  bits     -7.6933 bits/instance
Mean absolute error                      0.0296
Root mean squared error                  0.1535
Relative absolute error                 58.6266 %
Root relative squared error             96.6927 %
Coverage of cases (0.95 level)          60.9375 %
Mean rel. region size (0.95 level)       5.2632 %
Total Number of Instances               64     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.048    0.400      1.000    0.571      0.617    0.968     0.450     21
                 0.000    0.016    0.000      0.000    0.000      -0.016   0.952     0.250     22
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.952     0.250     23
                 1.000    0.157    0.619      1.000    0.765      0.722    0.970     0.822     24
                 1.000    0.067    0.500      1.000    0.667      0.683    0.988     0.893     25
                 0.750    0.083    0.375      0.750    0.500      0.488    0.950     0.690     26
                 0.000    0.048    0.000      0.000    0.000      -0.028   0.921     0.167     27
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.968     0.333     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.734     0.529     29
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.857     0.100     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.921     0.167     31
                 0.000    0.016    0.000      0.000    0.000      -0.016   0.905     0.143     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.250     33
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.952     0.250     34
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     35
                 0.000    0.016    0.000      0.000    0.000      -0.023   0.105     0.026     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.921     0.167     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.806     0.109     38
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.500     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.500     41
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     42
                 1.000    0.032    0.333      1.000    0.500      0.568    0.968     0.333     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.694     0.276     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.500     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 0.000    0.016    0.000      0.000    0.000      -0.016   0.921     0.167     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.669     0.523     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.333     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.937     0.200     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.333     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.333     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.500     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     55
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.250     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.250     58
Weighted Avg.    0.422    0.047    0.261      0.422    0.316      0.307    0.909     0.564     
