
 Results 
=====

Correctly Classified Instances           9               33.3333 %
Incorrectly Classified Instances        18               66.6667 %
Kappa statistic                          0.2957
K&B Relative Info Score               1586.7483 %
K&B Information Score                   70.0721 bits      2.5953 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme              552.4359 bits     20.4606 bits/instance
Complexity improvement     (Sf)       -413.8685 bits    -15.3285 bits/instance
Mean absolute error                      0.0581
Root mean squared error                  0.2161
Relative absolute error                 65.9596 %
Root relative squared error            102.0507 %
Coverage of cases (0.95 level)          59.2593 %
Mean rel. region size (0.95 level)       7.5758 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.038    0.500      1.000    0.667      0.693    1.000     1.000     192
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.885     0.250     193
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     194
                 0.000    0.000    0.000      0.000    0.000      0.000    0.780     0.577     195
                 1.000    0.038    0.500      1.000    0.667      0.693    1.000     1.000     196
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.923     0.333     197
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.962     0.500     198
                 0.000    0.000    0.000      0.000    0.000      0.000    0.885     0.250     199
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     200
                 1.000    0.038    0.500      1.000    0.667      0.693    1.000     1.000     201
                 1.000    0.077    0.333      1.000    0.500      0.555    1.000     1.000     202
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     203
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     204
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     205
                 0.500    0.000    1.000      0.500    0.667      0.693    0.960     0.750     206
                 1.000    0.077    0.333      1.000    0.500      0.555    1.000     1.000     207
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     208
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.962     0.500     209
                 0.667    0.083    0.500      0.667    0.571      0.516    0.958     0.833     210
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     211
                 1.000    0.038    0.500      1.000    0.667      0.693    1.000     1.000     212
                 0.000    0.120    0.000      0.000    0.000      -0.100   0.060     0.059     213
Weighted Avg.    0.333    0.037    0.228      0.333    0.249      0.239    0.885     0.652     
