
 Results 
=====

Correctly Classified Instances          17               48.5714 %
Incorrectly Classified Instances        18               51.4286 %
Kappa statistic                          0.3354
K&B Relative Info Score               1090.3519 %
K&B Information Score                   42.4152 bits      1.2119 bits/instance
Class complexity | order 0             144.1581 bits      4.1188 bits/instance
Class complexity | scheme            13990.1651 bits    399.719  bits/instance
Complexity improvement     (Sf)     -13846.0071 bits   -395.6002 bits/instance
Mean absolute error                      0.078 
Root mean squared error                  0.1995
Relative absolute error                 76.7245 %
Root relative squared error             88.612  %
Coverage of cases (0.95 level)          62.8571 %
Mean rel. region size (0.95 level)      46.5079 %
Total Number of Instances               35     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.206     0.029     106
                 0.000    0.000    0.000      0.000    0.000      0.000    0.265     0.029     107
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.833     108
                 0.000    0.000    0.000      0.000    0.000      0.000    0.206     0.029     109
                 0.000    0.000    0.000      0.000    0.000      0.000    0.235     0.029     110
                 0.333    0.000    1.000      0.333    0.500      0.560    1.000     1.000     111
                 0.000    0.000    0.000      0.000    0.000      0.000    0.162     0.029     112
                 1.000    0.654    0.346      1.000    0.514      0.346    0.795     0.586     113
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     114
                 0.000    0.000    0.000      0.000    0.000      0.000    0.176     0.029     115
                 0.000    0.000    0.000      0.000    0.000      0.000    0.103     0.029     116
                 0.000    0.000    0.000      0.000    0.000      0.000    0.147     0.029     117
                 0.000    0.000    0.000      0.000    0.000      0.000    0.221     0.029     118
                 0.500    0.030    0.500      0.500    0.500      0.470    1.000     1.000     119
                 0.000    0.000    0.000      0.000    0.000      0.000    0.191     0.029     120
                 0.000    0.000    0.000      0.000    0.000      0.000    0.147     0.029     121
                 0.000    0.000    0.000      0.000    0.000      0.000    0.206     0.029     122
                 0.000    0.000    0.000      0.000    0.000      0.000    0.221     0.029     123
Weighted Avg.    0.486    0.170    0.375      0.486    0.375      0.335    0.646     0.523     
