
 Results 
=====

Correctly Classified Instances          26               54.1667 %
Incorrectly Classified Instances        22               45.8333 %
Kappa statistic                          0.4273
K&B Relative Info Score               2276.9384 %
K&B Information Score                   91.1793 bits      1.8996 bits/instance
Class complexity | order 0             193.3196 bits      4.0275 bits/instance
Class complexity | scheme              188.3827 bits      3.9246 bits/instance
Complexity improvement     (Sf)          4.9369 bits      0.1029 bits/instance
Mean absolute error                      0.0502
Root mean squared error                  0.1664
Relative absolute error                 61.7377 %
Root relative squared error             83.2572 %
Coverage of cases (0.95 level)          83.3333 %
Mean rel. region size (0.95 level)      32.197  %
Total Number of Instances               48     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.957     0.333     83
                 0.000    0.000    0.000      0.000    0.000      0.000    0.894     0.167     84
                 0.846    0.343    0.478      0.846    0.611      0.448    0.848     0.696     85
                 0.000    0.000    0.000      0.000    0.000      0.000    0.936     0.250     86
                 0.833    0.056    0.833      0.833    0.833      0.778    0.868     0.882     87
                 0.000    0.000    0.000      0.000    0.000      0.000    0.319     0.030     88
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     89
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     90
                 0.000    0.000    0.000      0.000    0.000      0.000    0.582     0.071     91
                 0.000    0.043    0.000      0.000    0.000      -0.030   0.957     0.333     92
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.957     0.333     93
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.489     0.040     94
                 0.000    0.000    0.000      0.000    0.000      0.000    0.298     0.029     95
                 0.000    0.000    0.000      0.000    0.000      0.000    0.702     0.067     96
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.333     97
                 0.000    0.000    0.000      0.000    0.000      0.000    0.936     0.250     98
                 0.000    0.000    0.000      0.000    0.000      0.000    0.277     0.029     99
                 0.000    0.000    0.000      0.000    0.000      0.000    0.553     0.045     100
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.936     0.250     101
                 0.000    0.043    0.000      0.000    0.000      -0.030   0.957     0.333     102
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     103
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     104
Weighted Avg.    0.542    0.110    0.442      0.542    0.478      0.417    0.828     0.596     
