
 Results 
=====

Correctly Classified Instances          18               28.125  %
Incorrectly Classified Instances        46               71.875  %
Kappa statistic                          0.1707
K&B Relative Info Score               1463.6803 %
K&B Information Score                   73.4603 bits      1.1478 bits/instance
Class complexity | order 0             341.6018 bits      5.3375 bits/instance
Class complexity | scheme            41914.6519 bits    654.9164 bits/instance
Complexity improvement     (Sf)     -41573.0502 bits   -649.5789 bits/instance
Mean absolute error                      0.042 
Root mean squared error                  0.1663
Relative absolute error                 83.3237 %
Root relative squared error            104.785  %
Coverage of cases (0.95 level)          39.0625 %
Mean rel. region size (0.95 level)      13.8158 %
Total Number of Instances               64     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.016    0.667      1.000    0.800      0.810    0.984     0.667     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.016     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     23
                 1.000    0.490    0.342      1.000    0.510      0.418    0.748     0.331     24
                 0.500    0.050    0.400      0.500    0.444      0.406    0.721     0.406     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.358     0.063     26
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.468     0.016     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.290     0.031     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.437     0.016     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.222     0.016     35
                 0.000    0.032    0.000      0.000    0.000      -0.032   0.210     0.031     36
                 0.000    0.016    0.000      0.000    0.000      -0.016   0.484     0.016     37
                 0.000    0.032    0.000      0.000    0.000      -0.032   0.968     0.417     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.016     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.238     0.016     41
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.476     0.016     42
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.476     0.016     43
                 0.000    0.016    0.000      0.000    0.000      -0.023   0.427     0.031     44
                 0.000    0.016    0.000      0.000    0.000      -0.016   0.476     0.016     45
                 0.500    0.016    0.500      0.500    0.500      0.484    0.988     0.583     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.222     0.016     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.944     0.222     48
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.484     0.016     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.492     0.016     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.016     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.484     0.016     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.484     0.016     53
                 0.000    0.016    0.000      0.000    0.000      -0.023   0.984     0.667     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.437     0.016     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.429     0.016     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.476     0.016     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.222     0.016     58
Weighted Avg.    0.281    0.109    0.131      0.281    0.172      0.145    0.587     0.186     
