
 Results 
=====

Correctly Classified Instances          20               41.6667 %
Incorrectly Classified Instances        28               58.3333 %
Kappa statistic                          0.2311
K&B Relative Info Score                947.8062 %
K&B Information Score                   37.9546 bits      0.7907 bits/instance
Class complexity | order 0             193.3196 bits      4.0275 bits/instance
Class complexity | scheme            25803.6331 bits    537.5757 bits/instance
Complexity improvement     (Sf)     -25610.3135 bits   -533.5482 bits/instance
Mean absolute error                      0.0619
Root mean squared error                  0.1938
Relative absolute error                 76.2072 %
Root relative squared error             96.9753 %
Coverage of cases (0.95 level)          50      %
Mean rel. region size (0.95 level)      33.0492 %
Total Number of Instances               48     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.021     83
                 0.000    0.000    0.000      0.000    0.000      0.000    0.202     0.021     84
                 0.769    0.629    0.313      0.769    0.444      0.133    0.520     0.272     85
                 0.000    0.000    0.000      0.000    0.000      0.000    0.213     0.021     86
                 0.833    0.028    0.909      0.833    0.870      0.830    0.870     0.880     87
                 0.000    0.000    0.000      0.000    0.000      0.000    0.223     0.021     88
                 0.000    0.043    0.000      0.000    0.000      -0.030   0.436     0.021     89
                 0.000    0.000    0.000      0.000    0.000      0.000    0.935     0.250     90
                 0.000    0.065    0.000      0.000    0.000      -0.054   0.207     0.042     91
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.021     92
                 0.000    0.000    0.000      0.000    0.000      0.000    0.234     0.021     93
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.021     94
                 0.000    0.000    0.000      0.000    0.000      0.000    0.191     0.021     95
                 0.000    0.000    0.000      0.000    0.000      0.000    0.202     0.021     96
                 0.000    0.000    0.000      0.000    0.000      0.000    0.479     0.021     97
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.021     98
                 0.000    0.000    0.000      0.000    0.000      0.000    0.202     0.021     99
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.021     100
                 0.000    0.000    0.000      0.000    0.000      0.000    0.223     0.021     101
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.021     102
                 0.000    0.000    0.000      0.000    0.000      0.000    0.489     0.042     103
                 0.000    0.000    0.000      0.000    0.000      0.000    0.202     0.021     104
Weighted Avg.    0.417    0.181    0.312      0.417    0.338      0.241    0.544     0.315     
