
 Results 
=====

Correctly Classified Instances          14               42.4242 %
Incorrectly Classified Instances        19               57.5758 %
Kappa statistic                          0.3647
K&B Relative Info Score               1581.3585 %
K&B Information Score                   63.0728 bits      1.9113 bits/instance
Class complexity | order 0             144.2878 bits      4.3724 bits/instance
Class complexity | scheme              607.8998 bits     18.4212 bits/instance
Complexity improvement     (Sf)       -463.612  bits    -14.0488 bits/instance
Mean absolute error                      0.0635
Root mean squared error                  0.2351
Relative absolute error                 60.9854 %
Root relative squared error            102.5944 %
Coverage of cases (0.95 level)          51.5152 %
Mean rel. region size (0.95 level)       7.9125 %
Total Number of Instances               33     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     138
                 0.857    0.115    0.667      0.857    0.750      0.681    0.882     0.872     139
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.833     140
                 0.750    0.034    0.750      0.750    0.750      0.716    0.793     0.725     141
                 0.000    0.094    0.000      0.000    0.000      -0.056   0.906     0.250     142
                 0.000    0.032    0.000      0.000    0.000      -0.045   0.081     0.049     143
                 0.000    0.000    0.000      0.000    0.000      0.000    0.969     0.500     144
                 0.000    0.031    0.000      0.000    0.000      -0.031   0.938     0.333     145
                 1.000    0.094    0.250      1.000    0.400      0.476    1.000     1.000     146
                 0.000    0.000    0.000      0.000    0.000      0.000    0.129     0.051     147
                 0.000    0.031    0.000      0.000    0.000      -0.031   0.969     0.500     148
                 0.000    0.065    0.000      0.000    0.000      -0.065   0.081     0.049     149
                 1.000    0.063    0.333      1.000    0.500      0.559    1.000     1.000     150
                 1.000    0.031    0.500      1.000    0.667      0.696    1.000     1.000     151
                 0.000    0.000    0.000      0.000    0.000      0.000    0.387     0.073     152
                 1.000    0.031    0.500      1.000    0.667      0.696    0.984     0.500     153
                 0.000    0.000    0.000      0.000    0.000      0.000    0.969     0.500     154
                 0.000    0.000    0.000      0.000    0.000      0.000    0.887     0.375     155
Weighted Avg.    0.424    0.046    0.311      0.424    0.348      0.325    0.733     0.559     
