
 Results 
=====

Correctly Classified Instances           4               14.8148 %
Incorrectly Classified Instances        23               85.1852 %
Kappa statistic                          0.0633
K&B Relative Info Score                181.0739 %
K&B Information Score                    7.9964 bits      0.2962 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme            19363.7413 bits    717.1756 bits/instance
Complexity improvement     (Sf)     -19225.1739 bits   -712.0435 bits/instance
Mean absolute error                      0.0872
Root mean squared error                  0.2175
Relative absolute error                 99.02   %
Root relative squared error            102.7154 %
Coverage of cases (0.95 level)          33.3333 %
Mean rel. region size (0.95 level)      58.2492 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.135     0.037     192
                 0.000    0.000    0.000      0.000    0.000      0.000    0.250     0.037     193
                 0.000    0.000    0.000      0.000    0.000      0.000    0.346     0.037     194
                 1.000    0.080    0.500      1.000    0.667      0.678    0.940     0.700     195
                 0.000    0.000    0.000      0.000    0.000      0.000    0.038     0.037     196
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.077     0.037     197
                 0.000    0.000    0.000      0.000    0.000      0.000    0.096     0.037     198
                 0.000    0.000    0.000      0.000    0.000      0.000    0.250     0.037     199
                 0.000    0.000    0.000      0.000    0.000      0.000    0.154     0.037     200
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.077     0.037     201
                 0.000    0.000    0.000      0.000    0.000      0.000    0.058     0.037     202
                 0.000    0.000    0.000      0.000    0.000      0.000    0.269     0.037     203
                 0.000    0.000    0.000      0.000    0.000      0.000    0.058     0.037     204
                 0.000    0.000    0.000      0.000    0.000      0.000    0.077     0.037     205
                 0.000    0.040    0.000      0.000    0.000      -0.055   0.060     0.058     206
                 0.000    0.000    0.000      0.000    0.000      0.000    0.250     0.037     207
                 0.000    0.000    0.000      0.000    0.000      0.000    0.038     0.037     208
                 0.000    0.000    0.000      0.000    0.000      0.000    0.019     0.037     209
                 0.667    0.500    0.143      0.667    0.235      0.105    0.514     0.154     210
                 0.000    0.000    0.000      0.000    0.000      0.000    0.077     0.037     211
                 0.000    0.000    0.000      0.000    0.000      0.000    0.019     0.037     212
                 0.000    0.240    0.000      0.000    0.000      -0.151   0.020     0.074     213
Weighted Avg.    0.148    0.085    0.053      0.148    0.076      0.044    0.217     0.103     
