
 Results 
=====

Correctly Classified Instances          26               50      %
Incorrectly Classified Instances        26               50      %
Kappa statistic                          0.2571
K&B Relative Info Score               2289.0352 %
K&B Information Score                   86.7304 bits      1.6679 bits/instance
Class complexity | order 0             195.8537 bits      3.7664 bits/instance
Class complexity | scheme              199.4572 bits      3.8357 bits/instance
Complexity improvement     (Sf)         -3.6035 bits     -0.0693 bits/instance
Mean absolute error                      0.0629
Root mean squared error                  0.183 
Relative absolute error                 72.1744 %
Root relative squared error             88.6453 %
Coverage of cases (0.95 level)          90.3846 %
Mean rel. region size (0.95 level)      37.9808 %
Total Number of Instances               52     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.571    0.022    0.800      0.571    0.667      0.636    0.705     0.530     0
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.500     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.333     2
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     3
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     4
                 1.000    0.758    0.432      1.000    0.603      0.324    0.869     0.803     5
                 0.400    0.000    1.000      0.400    0.571      0.613    0.813     0.781     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.922     0.200     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.120     0.032     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.333     9
                 0.000    0.000    0.000      0.000    0.000      0.000    0.608     0.048     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.157     0.023     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.500     12
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.333     14
                 0.333    0.000    1.000      0.333    0.500      0.566    0.714     0.303     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.941     0.250     16
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.500     19
Weighted Avg.    0.500    0.280    0.419      0.500    0.394      0.295    0.815     0.632     
