
 Results 
=====

Correctly Classified Instances          22               34.375  %
Incorrectly Classified Instances        42               65.625  %
Kappa statistic                          0.2379
K&B Relative Info Score               3075.8514 %
K&B Information Score                  154.3731 bits      2.4121 bits/instance
Class complexity | order 0             341.6018 bits      5.3375 bits/instance
Class complexity | scheme              639.9197 bits      9.9987 bits/instance
Complexity improvement     (Sf)       -298.318  bits     -4.6612 bits/instance
Mean absolute error                      0.0385
Root mean squared error                  0.1394
Relative absolute error                 76.3647 %
Root relative squared error             87.8529 %
Coverage of cases (0.95 level)          82.8125 %
Mean rel. region size (0.95 level)      35.1562 %
Total Number of Instances               64     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.016    0.000      0.000    0.000      -0.023   0.984     0.583     21
                 0.000    0.016    0.000      0.000    0.000      -0.016   1.000     1.000     22
                 1.000    0.016    0.500      1.000    0.667      0.701    0.984     0.500     23
                 1.000    0.529    0.325      1.000    0.491      0.391    0.937     0.904     24
                 0.750    0.033    0.600      0.750    0.667      0.646    0.967     0.778     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.621     0.536     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.905     0.143     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.333     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.065     0.025     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.500     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.500     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.937     0.200     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.250     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.333     34
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     35
                 0.000    0.032    0.000      0.000    0.000      -0.032   0.065     0.025     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.825     0.083     37
                 0.500    0.032    0.333      0.500    0.400      0.385    0.968     0.417     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.500     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.500     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.500     41
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.714     0.053     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.873     0.111     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.097     0.026     44
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.905     0.143     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.643     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.508     0.031     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.794     0.071     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.905     0.143     51
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.460     0.029     52
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.500     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.333     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.889     0.125     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.333     58
Weighted Avg.    0.344    0.114    0.184      0.344    0.227      0.202    0.832     0.541     
