
 Results 
=====

Correctly Classified Instances          14               42.4242 %
Incorrectly Classified Instances        19               57.5758 %
Kappa statistic                          0.3469
K&B Relative Info Score               1383.1658 %
K&B Information Score                   55.1679 bits      1.6718 bits/instance
Class complexity | order 0             144.2878 bits      4.3724 bits/instance
Class complexity | scheme              273.8936 bits      8.2998 bits/instance
Complexity improvement     (Sf)       -129.6058 bits     -3.9274 bits/instance
Mean absolute error                      0.0818
Root mean squared error                  0.2037
Relative absolute error                 78.5295 %
Root relative squared error             88.8962 %
Coverage of cases (0.95 level)          81.8182 %
Mean rel. region size (0.95 level)      55.8923 %
Total Number of Instances               33     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     138
                 0.857    0.269    0.462      0.857    0.600      0.492    0.832     0.717     139
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     140
                 0.750    0.069    0.600      0.750    0.667      0.620    0.802     0.787     141
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.111     142
                 0.000    0.032    0.000      0.000    0.000      -0.045   0.185     0.054     143
                 0.000    0.000    0.000      0.000    0.000      0.000    0.906     0.250     144
                 0.000    0.031    0.000      0.000    0.000      -0.031   0.250     0.040     145
                 1.000    0.063    0.333      1.000    0.500      0.559    1.000     1.000     146
                 0.000    0.000    0.000      0.000    0.000      0.000    0.081     0.049     147
                 0.000    0.031    0.000      0.000    0.000      -0.031   0.250     0.040     148
                 0.000    0.065    0.000      0.000    0.000      -0.065   0.476     0.106     149
                 1.000    0.031    0.500      1.000    0.667      0.696    1.000     1.000     150
                 1.000    0.031    0.500      1.000    0.667      0.696    0.969     0.500     151
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     152
                 1.000    0.031    0.500      1.000    0.667      0.696    0.984     0.500     153
                 0.000    0.000    0.000      0.000    0.000      0.000    0.969     0.500     154
                 0.000    0.000    0.000      0.000    0.000      0.000    0.935     0.417     155
Weighted Avg.    0.424    0.078    0.256      0.424    0.314      0.281    0.741     0.556     
