
 Results 
=====

Correctly Classified Instances          16               25      %
Incorrectly Classified Instances        48               75      %
Kappa statistic                          0.162 
K&B Relative Info Score               1658.7328 %
K&B Information Score                   83.2497 bits      1.3008 bits/instance
Class complexity | order 0             341.6018 bits      5.3375 bits/instance
Class complexity | scheme            41906.0411 bits    654.7819 bits/instance
Complexity improvement     (Sf)     -41564.4393 bits   -649.4444 bits/instance
Mean absolute error                      0.0394
Root mean squared error                  0.1672
Relative absolute error                 78.0727 %
Root relative squared error            105.3617 %
Coverage of cases (0.95 level)          39.0625 %
Mean rel. region size (0.95 level)       9.2516 %
Total Number of Instances               64     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.032    0.000      0.000    0.000      -0.032   0.484     0.031     21
                 0.000    0.063    0.000      0.000    0.000      -0.033   0.468     0.016     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     23
                 0.769    0.333    0.370      0.769    0.500      0.355    0.686     0.285     24
                 0.500    0.067    0.333      0.500    0.400      0.360    0.725     0.365     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.032    0.000      0.000    0.000      -0.023   0.476     0.016     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     28
                 0.000    0.065    0.000      0.000    0.000      -0.046   0.363     0.031     29
                 0.000    0.016    0.000      0.000    0.000      -0.016   0.492     0.016     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.476     0.016     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     32
                 0.000    0.063    0.000      0.000    0.000      -0.033   0.468     0.016     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.492     0.016     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.310     0.016     35
                 0.000    0.032    0.000      0.000    0.000      -0.032   0.484     0.031     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.476     0.016     37
                 0.000    0.032    0.000      0.000    0.000      -0.032   0.968     0.500     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.484     0.016     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.310     0.016     40
                 0.000    0.048    0.000      0.000    0.000      -0.028   0.341     0.016     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.016     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.016     43
                 0.000    0.016    0.000      0.000    0.000      -0.023   0.488     0.038     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.476     0.016     45
                 0.000    0.016    0.000      0.000    0.000      -0.023   0.984     0.667     46
                 0.000    0.016    0.000      0.000    0.000      -0.016   0.397     0.016     47
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.016     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.016     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.492     0.016     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.016     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.516     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.492     0.016     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     58
Weighted Avg.    0.250    0.082    0.159      0.250    0.189      0.149    0.615     0.238     
