
 Results 
=====

Correctly Classified Instances          20               41.6667 %
Incorrectly Classified Instances        28               58.3333 %
Kappa statistic                          0.2437
K&B Relative Info Score               1070.8637 %
K&B Information Score                   42.8824 bits      0.8934 bits/instance
Class complexity | order 0             193.3196 bits      4.0275 bits/instance
Class complexity | scheme            24729.3707 bits    515.1952 bits/instance
Complexity improvement     (Sf)     -24536.0511 bits   -511.1677 bits/instance
Mean absolute error                      0.0602
Root mean squared error                  0.2015
Relative absolute error                 74.099  %
Root relative squared error            100.8149 %
Coverage of cases (0.95 level)          52.0833 %
Mean rel. region size (0.95 level)      22.3485 %
Total Number of Instances               48     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.021     83
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.489     0.021     84
                 0.769    0.457    0.385      0.769    0.513      0.278    0.660     0.404     85
                 0.000    0.000    0.000      0.000    0.000      0.000    0.277     0.021     86
                 0.833    0.139    0.667      0.833    0.741      0.649    0.845     0.730     87
                 0.000    0.000    0.000      0.000    0.000      0.000    0.277     0.021     88
                 0.000    0.043    0.000      0.000    0.000      -0.030   0.436     0.021     89
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.583     90
                 0.000    0.043    0.000      0.000    0.000      -0.043   0.261     0.042     91
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.021     92
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.489     0.021     93
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.468     0.021     94
                 0.000    0.000    0.000      0.000    0.000      0.000    0.245     0.021     95
                 0.000    0.000    0.000      0.000    0.000      0.000    0.447     0.021     96
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.021     97
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.021     98
                 0.000    0.000    0.000      0.000    0.000      0.000    0.234     0.021     99
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.021     100
                 0.000    0.000    0.000      0.000    0.000      0.000    0.287     0.021     101
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.021     102
                 0.000    0.000    0.000      0.000    0.000      0.000    0.728     0.188     103
                 0.000    0.000    0.000      0.000    0.000      0.000    0.245     0.021     104
Weighted Avg.    0.417    0.163    0.271      0.417    0.324      0.234    0.615     0.333     
