
 Results 
=====

Correctly Classified Instances           3               11.1111 %
Incorrectly Classified Instances        24               88.8889 %
Kappa statistic                          0.0471
K&B Relative Info Score                190.5478 %
K&B Information Score                    8.4147 bits      0.3117 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme            25779.585  bits    954.7994 bits/instance
Complexity improvement     (Sf)     -25641.0175 bits   -949.6673 bits/instance
Mean absolute error                      0.0864
Root mean squared error                  0.2414
Relative absolute error                 98.1279 %
Root relative squared error            114.0078 %
Coverage of cases (0.95 level)          11.1111 %
Mean rel. region size (0.95 level)      15.6566 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.462     0.037     192
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.037     193
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.462     0.037     194
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     195
                 0.000    0.154    0.000      0.000    0.000      -0.082   0.346     0.037     196
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.462     0.037     197
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.481     0.037     198
                 0.000    0.077    0.000      0.000    0.000      -0.055   0.462     0.037     199
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.404     0.037     200
                 0.000    0.000    0.000      0.000    0.000      0.000    0.462     0.037     201
                 0.000    0.000    0.000      0.000    0.000      0.000    0.308     0.037     202
                 0.000    0.000    0.000      0.000    0.000      0.000    0.346     0.037     203
                 0.000    0.000    0.000      0.000    0.000      0.000    0.462     0.037     204
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.462     0.037     205
                 0.000    0.040    0.000      0.000    0.000      -0.055   0.480     0.074     206
                 0.000    0.000    0.000      0.000    0.000      0.000    0.288     0.037     207
                 0.000    0.000    0.000      0.000    0.000      0.000    0.404     0.037     208
                 0.000    0.000    0.000      0.000    0.000      0.000    0.423     0.037     209
                 0.333    0.333    0.111      0.333    0.167      0.000    0.465     0.111     210
                 0.000    0.000    0.000      0.000    0.000      0.000    0.308     0.037     211
                 0.000    0.000    0.000      0.000    0.000      0.000    0.481     0.037     212
                 0.000    0.040    0.000      0.000    0.000      -0.055   0.420     0.074     213
Weighted Avg.    0.111    0.063    0.086      0.111    0.093      0.051    0.471     0.122     
