
 Results 
=====

Correctly Classified Instances          12               44.4444 %
Incorrectly Classified Instances        15               55.5556 %
Kappa statistic                          0.413 
K&B Relative Info Score               1882.3363 %
K&B Information Score                   83.1255 bits      3.0787 bits/instance
Class complexity | order 0             138.5674 bits      5.1321 bits/instance
Class complexity | scheme              298.6125 bits     11.0597 bits/instance
Complexity improvement     (Sf)       -160.0451 bits     -5.9276 bits/instance
Mean absolute error                      0.0516
Root mean squared error                  0.1942
Relative absolute error                 58.5787 %
Root relative squared error             91.7394 %
Coverage of cases (0.95 level)          74.0741 %
Mean rel. region size (0.95 level)       8.4175 %
Total Number of Instances               27     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.038    0.500      1.000    0.667      0.693    1.000     1.000     60
                 1.000    0.077    0.333      1.000    0.500      0.555    0.923     0.333     61
                 1.000    0.077    0.333      1.000    0.500      0.555    0.923     0.333     62
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.962     0.500     63
                 1.000    0.038    0.500      1.000    0.667      0.693    0.962     0.500     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.923     0.333     65
                 1.000    0.038    0.500      1.000    0.667      0.693    0.962     0.500     66
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     67
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     68
                 0.667    0.083    0.500      0.667    0.571      0.516    0.875     0.750     69
                 1.000    0.038    0.500      1.000    0.667      0.693    0.962     0.500     70
                 0.000    0.080    0.000      0.000    0.000      -0.080   0.120     0.063     71
                 0.000    0.000    0.000      0.000    0.000      0.000    0.720     0.183     72
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     73
                 1.000    0.038    0.500      1.000    0.667      0.693    1.000     1.000     74
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     75
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     76
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     77
                 0.000    0.038    0.000      0.000    0.000      -0.038   0.962     0.500     78
                 0.000    0.000    0.000      0.000    0.000      0.000    0.962     0.500     79
                 0.000    0.000    0.000      0.000    0.000      0.000    0.923     0.333     80
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     81
Weighted Avg.    0.444    0.031    0.284      0.444    0.335      0.329    0.877     0.595     
