
 Results 
=====

Correctly Classified Instances          19               54.2857 %
Incorrectly Classified Instances        16               45.7143 %
Kappa statistic                          0.4848
K&B Relative Info Score               2313.5546 %
K&B Information Score                   89.9983 bits      2.5714 bits/instance
Class complexity | order 0             144.1581 bits      4.1188 bits/instance
Class complexity | scheme              264.1008 bits      7.5457 bits/instance
Complexity improvement     (Sf)       -119.9427 bits     -3.4269 bits/instance
Mean absolute error                      0.0519
Root mean squared error                  0.1998
Relative absolute error                 51.0282 %
Root relative squared error             88.7434 %
Coverage of cases (0.95 level)          74.2857 %
Mean rel. region size (0.95 level)       8.254  %
Total Number of Instances               35     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.059    0.333      1.000    0.500      0.560    0.941     0.333     106
                 1.000    0.059    0.333      1.000    0.500      0.560    0.971     0.500     107
                 0.000    0.000    0.000      0.000    0.000      0.000    0.864     0.591     108
                 1.000    0.029    0.500      1.000    0.667      0.697    1.000     1.000     109
                 1.000    0.029    0.500      1.000    0.667      0.697    0.971     0.500     110
                 0.667    0.063    0.500      0.667    0.571      0.532    0.750     0.704     111
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.500     112
                 0.444    0.154    0.500      0.444    0.471      0.302    0.744     0.601     113
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     114
                 1.000    0.029    0.500      1.000    0.667      0.697    0.971     0.500     115
                 1.000    0.059    0.333      1.000    0.500      0.560    0.985     0.500     116
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     117
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.912     0.250     118
                 0.500    0.000    1.000      0.500    0.667      0.697    1.000     1.000     119
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.500     120
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     121
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     122
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.500     123
Weighted Avg.    0.543    0.053    0.471      0.543    0.480      0.441    0.896     0.708     
