
 Results 
=====

Correctly Classified Instances          26               54.1667 %
Incorrectly Classified Instances        22               45.8333 %
Kappa statistic                          0.3955
K&B Relative Info Score               1473.4618 %
K&B Information Score                   59.0043 bits      1.2293 bits/instance
Class complexity | order 0             193.3196 bits      4.0275 bits/instance
Class complexity | scheme            20430.1409 bits    425.6279 bits/instance
Complexity improvement     (Sf)     -20236.8214 bits   -421.6004 bits/instance
Mean absolute error                      0.0536
Root mean squared error                  0.1668
Relative absolute error                 65.9362 %
Root relative squared error             83.4344 %
Coverage of cases (0.95 level)          60.4167 %
Mean rel. region size (0.95 level)      38.9205 %
Total Number of Instances               48     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.277     0.021     83
                 0.000    0.000    0.000      0.000    0.000      0.000    0.287     0.021     84
                 0.923    0.571    0.375      0.923    0.533      0.331    0.937     0.916     85
                 0.000    0.000    0.000      0.000    0.000      0.000    0.319     0.021     86
                 0.833    0.028    0.909      0.833    0.870      0.830    0.863     0.879     87
                 0.000    0.021    0.000      0.000    0.000      -0.021   0.234     0.021     88
                 0.000    0.000    0.000      0.000    0.000      0.000    0.287     0.021     89
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     90
                 0.000    0.000    0.000      0.000    0.000      0.000    0.163     0.042     91
                 0.000    0.000    0.000      0.000    0.000      0.000    0.234     0.021     92
                 0.000    0.000    0.000      0.000    0.000      0.000    0.213     0.021     93
                 0.000    0.000    0.000      0.000    0.000      0.000    0.223     0.021     94
                 0.000    0.000    0.000      0.000    0.000      0.000    0.213     0.021     95
                 0.000    0.000    0.000      0.000    0.000      0.000    0.234     0.021     96
                 0.000    0.000    0.000      0.000    0.000      0.000    0.287     0.021     97
                 0.000    0.000    0.000      0.000    0.000      0.000    0.330     0.021     98
                 0.000    0.000    0.000      0.000    0.000      0.000    0.223     0.021     99
                 0.000    0.000    0.000      0.000    0.000      0.000    0.309     0.021     100
                 0.000    0.000    0.000      0.000    0.000      0.000    0.181     0.021     101
                 0.000    0.000    0.000      0.000    0.000      0.000    0.298     0.021     102
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     103
                 0.000    0.000    0.000      0.000    0.000      0.000    0.149     0.021     104
Weighted Avg.    0.542    0.162    0.412      0.542    0.445      0.380    0.649     0.560     
