
 Results 
=====

Correctly Classified Instances          16               45.7143 %
Incorrectly Classified Instances        19               54.2857 %
Kappa statistic                          0.335 
K&B Relative Info Score               2087.9364 %
K&B Information Score                   81.2217 bits      2.3206 bits/instance
Class complexity | order 0             144.1581 bits      4.1188 bits/instance
Class complexity | scheme              105.7726 bits      3.0221 bits/instance
Complexity improvement     (Sf)         38.3855 bits      1.0967 bits/instance
Mean absolute error                      0.065 
Root mean squared error                  0.1808
Relative absolute error                 63.9518 %
Root relative squared error             80.3296 %
Coverage of cases (0.95 level)          91.4286 %
Mean rel. region size (0.95 level)      39.0476 %
Total Number of Instances               35     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.941     0.333     106
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.971     0.500     107
                 0.000    0.061    0.000      0.000    0.000      -0.061   0.939     0.417     108
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.971     0.500     109
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.500     110
                 0.667    0.063    0.500      0.667    0.571      0.532    0.708     0.699     111
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.500     112
                 0.778    0.423    0.389      0.778    0.519      0.310    0.816     0.629     113
                 1.000    0.034    0.857      1.000    0.923      0.910    1.000     1.000     114
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.500     115
                 0.000    0.000    0.000      0.000    0.000      0.000    0.956     0.333     116
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.500     117
                 0.000    0.029    0.000      0.000    0.000      -0.029   0.176     0.034     118
                 0.500    0.000    1.000      0.500    0.667      0.697    1.000     1.000     119
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.500     120
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     121
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.056     122
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.500     123
Weighted Avg.    0.457    0.126    0.347      0.457    0.379      0.315    0.877     0.639     
