@relation 'Dataset dblp co-authors mmiller'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}
@data
'lisa h berg',10
'nan',10
'nan',10
'bernd hamann carol l hunter charles d hansen michael cox roger crawfis',11
'bernd hamann j fritz barnes william c wynn',11
'l jay wantz',12
'l jay wantz',12
'j ryan x slamin',1
'm baca j a macdougall x slamin w d wallis',1
'x slamin',1
'e t baskoro j siran m sutton',1
'm baca',1
'l brankovic p horak g wrightson',1
'e t baskoro j plesnik s znam',1
'm baca y lin',1
'l brankovic j siran',1
'e t baskoro j plesnik',1
'nan',1
'l brankovic',1
'm sutton',1
'j ryan x slamin k sugeng m tuga',1
'l brankovic j cooper',1
'm sutton j ryan x slamin',1
'i roberts j simpson',1
'l brankovic j siran',1
'm sutton',1
'e chang c colman w ee',1
'w d wallis e t baskoro x slamin',1
'catherine colman elizabeth chang wan ee',1
'graham wrightson ljiljana brankovic peter norak',1
'e dahlhaus p manuel',1
'j a macdougall x slamin w d wallis',1
'e dahlhaus j ryan',1
'j a macdougall w wallis',1
'e dahlhaus f manne j ryan',1
'b d mckay j siran',1
'k eds park',1
'h m nguyen x slamin',1
'j siran',1
'c a rodger r simanjuntak',1
'j ryan x slamin w f smyth',1
'j gimbert j siran x slamin',1
'nan',1
'e t baskoro p manuel j ryan m sutton',1
'e t baskoro l brankovic j plesnik j ryan j siran',1
'e baskoro x surahmat s m nababan',1
'j a macdougall x slamin w d wallis',1
'e t baskoro',1
'i roberts j simpson',1
'e t baskoro j plesnik',1
'j cooper',1
'e t baskoro j siran',1
'j cooper',1
'e t baskoro',1
'nan',1
'e t baskoro',1
'nan',1
'e dahlhaus p manuel',1
'e t baskoro j plesnik s znam',1
'j ryan w f smyth',1
'e dahlhaus p manuel',1
'f bertault',1
'j ryan w smyth',1
'elias dahlhaus joseph f ryan peter horak',1
'j gimbert f ruskey j ryan',1
'elias dahlhaus jan kratochv iacute l paul d manuel',1
's morris j cooper d bomba l brankovic f pacecho',1
'e dahlhaus j kratochvil p manuel',1
'anna draganova martin sutton',1
'p eades h elgindy m houles b lenhart d rappaport s whitesides',1
'p eades m keil p manuel',1
'z feng',1
'z feng y jia',1
'f bertault',1
'j boland',1
'j boland f buckley',1
'h nagamochi x slamin',1
'd bomba l brankovic j cooper s morris f pacecho',1
'david rappaport hossam a elgindy michael e houle sue whitesides william lenhart',1
'd bomba l brankovic j cooper s morris f pacecho',1
'alexander rosa ljiljana brankovic peter horak',1
'd bomba l brankovic j cooper s morris f pacecho',1
'jennifer seberry',1
'ljiljana brankovic peter horak',1
'r simanjuntak',1
'l brankovic d bomba j cooper s morris f pacecho',1
'r simanjuntak',1
'z feng y jia',1
'l brankovic p lieby',1
'r simanjuntak f bertault',1
'z feng y jia',1
'l brankovic j siran',1
'jozef siran ljiljana brankovic',1
'z feng i fris',1
'm baca y lin m z youssef',1
'x slamin m baca y lin r simanjuntak',1
'z feng m zhang',1
'm baca',1
'x slamin',1
'z feng h dai',1
'm baca',1
'fran ccedil ois bertault',1
'm baca y lin',1
'ivan fris',1
'm baca x slamin',1
'p horak l brankovic',1
'm baca f bertault j a macdougall r simanjuntak x slamin',1
'c iliopoulos b eds smyth',1
'm baca x slamin',1
'm baca',1
'yingxian jia zhuopeng feng',1
'm baca e t baskoro',1
'l brankovic j plesnik j ryan j siran',1
'l brankovic a furche g wrightson',1
'l brankovic',1
'x slamin e t baskoro',1
'ljiljana brankovic peter horak',1
'slamin',1
'l brankovic p horak',1
'x slamin',1
'l brankovic j siran',1
'x slamin',1
