
 Results 
=====

Correctly Classified Instances         453               78.6458 %
Incorrectly Classified Instances       123               21.3542 %
Kappa statistic                          0.7571
K&B Relative Info Score              40481.1923 %
K&B Information Score                 1570.1795 bits      2.726  bits/instance
Class complexity | order 0            2194.0746 bits      3.8092 bits/instance
Class complexity | scheme            18885.3076 bits     32.787  bits/instance
Complexity improvement     (Sf)     -16691.233  bits    -28.9778 bits/instance
Mean absolute error                      0.0215
Root mean squared error                  0.1126
Relative absolute error                 30.994  %
Root relative squared error             60.4824 %
Coverage of cases (0.95 level)          94.9653 %
Mean rel. region size (0.95 level)      20.0321 %
Total Number of Instances              576     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.889    0.000    1.000      0.889    0.941      0.942    0.927     0.891     0
                 0.625    0.002    0.833      0.625    0.714      0.718    0.849     0.461     1
                 0.763    0.002    0.967      0.763    0.853      0.851    0.960     0.798     2
                 0.286    0.000    1.000      0.286    0.444      0.532    0.814     0.308     3
                 0.429    0.005    0.500      0.429    0.462      0.457    0.834     0.467     4
                 0.744    0.000    1.000      0.744    0.853      0.854    0.953     0.830     5
                 0.286    0.000    1.000      0.286    0.444      0.532    0.875     0.397     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.875    0.000    1.000      0.875    0.933      0.935    0.918     0.877     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.783     0.036     9
                 0.972    0.205    0.522      0.972    0.680      0.628    0.888     0.524     10
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.759     0.034     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.755     0.030     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.050     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.049     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.733     0.027     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.054     17
                 0.884    0.000    1.000      0.884    0.939      0.930    0.966     0.939     18
                 0.613    0.000    1.000      0.613    0.760      0.774    0.940     0.745     19
                 0.825    0.000    1.000      0.825    0.904      0.899    0.972     0.917     20
                 0.786    0.000    1.000      0.786    0.880      0.882    0.968     0.858     21
                 0.778    0.028    0.700      0.778    0.737      0.714    0.965     0.820     22
                 0.714    0.005    0.833      0.714    0.769      0.764    0.891     0.685     23
                 0.905    0.005    0.864      0.905    0.884      0.879    0.993     0.834     24
                 0.538    0.000    1.000      0.538    0.700      0.730    0.807     0.558     25
Weighted Avg.    0.786    0.041    0.836      0.786    0.785      0.774    0.933     0.742     
