
 Results 
=====

Correctly Classified Instances         471               81.7708 %
Incorrectly Classified Instances       105               18.2292 %
Kappa statistic                          0.7967
K&B Relative Info Score              44611.456  %
K&B Information Score                 1730.3836 bits      3.0041 bits/instance
Class complexity | order 0            2194.0746 bits      3.8092 bits/instance
Class complexity | scheme              979.3274 bits      1.7002 bits/instance
Complexity improvement     (Sf)       1214.7472 bits      2.1089 bits/instance
Mean absolute error                      0.0164
Root mean squared error                  0.1006
Relative absolute error                 23.5764 %
Root relative squared error             54.0367 %
Coverage of cases (0.95 level)          90.7986 %
Mean rel. region size (0.95 level)       7.7791 %
Total Number of Instances              576     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.889    0.000    1.000      0.889    0.941      0.942    1.000     1.000     0
                 0.875    0.002    0.875      0.875    0.875      0.873    0.985     0.855     1
                 0.816    0.013    0.816      0.816    0.816      0.803    0.973     0.890     2
                 0.714    0.000    1.000      0.714    0.833      0.844    0.995     0.826     3
                 0.714    0.000    1.000      0.714    0.833      0.844    0.941     0.753     4
                 0.860    0.006    0.925      0.860    0.892      0.884    0.987     0.951     5
                 0.286    0.000    1.000      0.286    0.444      0.532    0.916     0.556     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.750    0.002    0.857      0.750    0.800      0.799    0.904     0.820     8
                 0.333    0.000    1.000      0.333    0.500      0.576    0.694     0.669     9
                 0.880    0.041    0.833      0.880    0.856      0.822    0.979     0.941     10
                 0.667    0.000    1.000      0.667    0.800      0.816    0.726     0.669     11
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     12
                 0.667    0.005    0.400      0.667    0.500      0.513    0.998     0.833     13
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.621     0.020     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.539     0.031     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.926    0.015    0.926      0.926    0.926      0.912    0.990     0.974     18
                 0.645    0.004    0.909      0.645    0.755      0.755    0.976     0.823     19
                 0.841    0.023    0.815      0.841    0.828      0.807    0.982     0.922     20
                 0.750    0.016    0.700      0.750    0.724      0.710    0.951     0.819     21
                 0.822    0.045    0.607      0.822    0.698      0.678    0.955     0.801     22
                 0.714    0.013    0.682      0.714    0.698      0.686    0.936     0.750     23
                 0.905    0.013    0.731      0.905    0.809      0.805    0.984     0.843     24
                 0.538    0.005    0.700      0.538    0.609      0.606    0.960     0.704     25
Weighted Avg.    0.818    0.019    0.826      0.818    0.814      0.801    0.969     0.884     
