
 Results 
=====

Correctly Classified Instances        1195               81.6257 %
Incorrectly Classified Instances       269               18.3743 %
Kappa statistic                          0.8081
K&B Relative Info Score             114367.4598 %
K&B Information Score                 6290.3885 bits      4.2967 bits/instance
Class complexity | order 0            7924.5444 bits      5.4129 bits/instance
Class complexity | scheme            53977.5916 bits     36.8699 bits/instance
Complexity improvement     (Sf)     -46053.0471 bits    -31.457  bits/instance
Mean absolute error                      0.0076
Root mean squared error                  0.0562
Relative absolute error                 33.8322 %
Root relative squared error             53.189  %
Coverage of cases (0.95 level)          94.6721 %
Mean rel. region size (0.95 level)       7.5399 %
Total Number of Instances             1464     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.909    0.026    0.844      0.909    0.875      0.856    0.978     0.927     1
                 0.861    0.012    0.785      0.861    0.821      0.812    0.989     0.836     2
                 0.877    0.016    0.713      0.877    0.786      0.780    0.984     0.911     3
                 0.818    0.001    0.973      0.818    0.889      0.889    0.996     0.938     4
                 0.907    0.004    0.886      0.907    0.897      0.893    0.990     0.926     5
                 0.725    0.013    0.604      0.725    0.659      0.651    0.927     0.731     6
                 0.806    0.025    0.588      0.806    0.680      0.673    0.984     0.873     7
                 0.885    0.002    0.939      0.885    0.911      0.908    0.967     0.914     8
                 0.621    0.003    0.818      0.621    0.706      0.708    0.911     0.677     9
                 0.667    0.001    0.875      0.667    0.757      0.761    0.990     0.813     10
                 0.952    0.000    1.000      0.952    0.976      0.976    0.999     0.976     11
                 0.824    0.006    0.778      0.824    0.800      0.795    0.968     0.848     12
                 0.787    0.004    0.881      0.787    0.831      0.828    0.969     0.907     13
                 0.750    0.002    0.800      0.750    0.774      0.772    0.917     0.818     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.278    0.003    0.500      0.278    0.357      0.367    0.836     0.390     16
                 0.806    0.006    0.784      0.806    0.795      0.789    0.966     0.809     17
                 0.727    0.001    0.889      0.727    0.800      0.803    0.974     0.750     18
                 0.962    0.001    0.962      0.962    0.962      0.961    1.000     0.997     19
                 0.979    0.004    0.904      0.979    0.940      0.939    0.987     0.922     20
                 0.571    0.001    0.800      0.571    0.667      0.675    0.964     0.594     21
                 1.000    0.001    0.833      1.000    0.909      0.912    1.000     0.991     22
                 0.636    0.022    0.404      0.636    0.494      0.493    0.932     0.739     23
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     24
                 0.833    0.000    1.000      0.833    0.909      0.913    0.911     0.834     25
                 0.600    0.000    1.000      0.600    0.750      0.774    1.000     0.927     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.889     0.711     27
                 0.980    0.003    0.925      0.980    0.951      0.950    0.988     0.980     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
                 0.692    0.000    1.000      0.692    0.818      0.831    0.916     0.784     30
                 1.000    0.001    0.833      1.000    0.909      0.913    1.000     1.000     31
                 0.800    0.000    1.000      0.800    0.889      0.894    0.895     0.801     32
                 0.400    0.000    1.000      0.400    0.571      0.632    0.995     0.664     33
                 1.000    0.001    0.909      1.000    0.952      0.953    1.000     1.000     34
                 1.000    0.001    0.800      1.000    0.889      0.894    1.000     1.000     35
                 0.500    0.001    0.500      0.500    0.500      0.499    0.998     0.476     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 0.500    0.000    1.000      0.500    0.667      0.707    0.995     0.780     38
                 0.912    0.005    0.816      0.912    0.861      0.859    0.994     0.864     39
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     40
                 0.250    0.000    1.000      0.250    0.400      0.499    0.868     0.751     41
                 0.750    0.000    1.000      0.750    0.857      0.866    0.870     0.751     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.602     0.006     43
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     44
                 0.933    0.000    1.000      0.933    0.966      0.966    0.963     0.934     45
                 0.912    0.002    0.912      0.912    0.912      0.910    0.996     0.954     46
                 0.750    0.001    0.750      0.750    0.750      0.749    0.999     0.875     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.869     0.190     48
                 0.556    0.005    0.682      0.556    0.612      0.609    0.962     0.615     49
                 0.667    0.000    1.000      0.667    0.800      0.816    0.822     0.667     50
                 0.652    0.001    0.938      0.652    0.769      0.779    0.964     0.803     51
                 1.000    0.001    0.750      1.000    0.857      0.866    1.000     1.000     52
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     53
                 0.667    0.000    1.000      0.667    0.800      0.816    0.821     0.667     54
                 1.000    0.001    0.600      1.000    0.750      0.774    1.000     1.000     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.786     0.019     56
                 0.917    0.001    0.917      0.917    0.917      0.916    0.955     0.917     57
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     58
                 1.000    0.002    0.962      1.000    0.981      0.980    1.000     1.000     59
                 1.000    0.001    0.875      1.000    0.933      0.935    1.000     1.000     60
                 0.727    0.002    0.727      0.727    0.727      0.725    0.998     0.800     61
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     62
                 0.333    0.000    1.000      0.333    0.500      0.577    1.000     1.000     63
                 1.000    0.001    0.750      1.000    0.857      0.866    1.000     1.000     64
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     65
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     66
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     0.806     67
                 0.333    0.000    1.000      0.333    0.500      0.577    1.000     0.867     68
                 0.333    0.001    0.333      0.333    0.333      0.332    0.999     0.478     69
                 0.833    0.003    0.667      0.833    0.741      0.743    0.937     0.777     70
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     71
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     72
                 0.333    0.000    1.000      0.333    0.500      0.577    0.999     0.792     73
                 0.316    0.006    0.400      0.316    0.353      0.348    0.922     0.293     74
                 0.000    0.000    0.000      0.000    0.000      0.000    0.431     0.001     75
                 0.000    0.000    0.000      0.000    0.000      0.000    0.435     0.001     76
                 0.000    0.000    0.000      0.000    0.000      0.000    0.436     0.001     77
                 0.500    0.000    1.000      0.500    0.667      0.707    1.000     1.000     78
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.717     0.008     79
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.117     80
