
 Results 
=====

Correctly Classified Instances         644               71.2389 %
Incorrectly Classified Instances       260               28.7611 %
Kappa statistic                          0.6712
K&B Relative Info Score              54428.6399 %
K&B Information Score                 1999.0984 bits      2.2114 bits/instance
Class complexity | order 0            3247.0909 bits      3.5919 bits/instance
Class complexity | scheme             1789.9067 bits      1.98   bits/instance
Complexity improvement     (Sf)       1457.1842 bits      1.6119 bits/instance
Mean absolute error                      0.0285
Root mean squared error                  0.115 
Relative absolute error                 46.6604 %
Root relative squared error             65.8462 %
Coverage of cases (0.95 level)          94.8009 %
Mean rel. region size (0.95 level)      20.5333 %
Total Number of Instances              904     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.514    0.008    0.731      0.514    0.603      0.599    0.878     0.593     155
                 0.778    0.000    1.000      0.778    0.875      0.881    0.874     0.782     156
                 0.667    0.000    1.000      0.667    0.800      0.815    0.928     0.682     157
                 0.625    0.000    1.000      0.625    0.769      0.789    0.981     0.734     158
                 0.095    0.003    0.400      0.095    0.154      0.187    0.742     0.205     159
                 0.667    0.000    1.000      0.667    0.800      0.816    0.827     0.671     160
                 0.895    0.051    0.782      0.895    0.834      0.801    0.964     0.924     161
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.553     0.007     162
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     163
                 0.250    0.000    1.000      0.250    0.400      0.499    0.849     0.549     164
                 0.667    0.028    0.736      0.667    0.699      0.667    0.928     0.740     165
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     166
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.717     0.112     167
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     168
                 0.000    0.000    0.000      0.000    0.000      0.000    0.755     0.008     169
                 0.887    0.189    0.384      0.887    0.536      0.505    0.906     0.617     170
                 0.000    0.000    0.000      0.000    0.000      0.000    0.756     0.279     171
                 0.000    0.000    0.000      0.000    0.000      0.000    0.817     0.008     172
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.131     0.002     173
                 0.571    0.000    1.000      0.571    0.727      0.755    0.896     0.801     174
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     175
                 0.000    0.000    0.000      0.000    0.000      0.000    0.153     0.002     176
                 0.000    0.000    0.000      0.000    0.000      0.000    0.682     0.003     177
                 0.777    0.016    0.919      0.777    0.842      0.812    0.950     0.897     178
                 0.800    0.008    0.936      0.800    0.863      0.849    0.948     0.876     179
                 0.350    0.006    0.583      0.350    0.438      0.443    0.884     0.478     180
                 0.538    0.002    0.778      0.538    0.636      0.643    0.962     0.727     182
                 0.574    0.012    0.796      0.574    0.667      0.654    0.915     0.716     183
                 0.393    0.000    1.000      0.393    0.564      0.621    0.924     0.584     184
Weighted Avg.    0.712    0.039    0.764      0.712    0.712      0.694    0.922     0.760     
