@relation 'Dataset dblp publish-venue cchen'
@attribute Text string
@attribute class-att {128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 125, 126, 127}
@data
'ieee softwar',94
'ieee comput',94
'journal system softwar',94
'commun acm',94
'hase',94
'icsm intern softwar mainten',94
'compsac intern comput softwar applic',94
'compsac intern comput softwar applic',94
'compsac intern comput softwar applic',94
'technic report univers',95
'ieee transact comput aid design integr circuit system tcad pp',95
'ieee acm intern comput aid design iccad intern comput aid design',95
'ieee acm design autom dac design autom',95
'ieee acm intern comput aid design iccad intern comput aid design',95
'ieee intern symposium circuit system isca ieee intern symposium circuit system',95
'design autom test europ and exhibit date design autom test europ',95
'design autom test europ and exhibit date design autom test europ',95
'nan',95
'great lake symposium vlsi veri larg scale integr glsvlsi',95
'ieee transact circuit system i tca i pp',95
'ieee acm intern comput aid design iccad intern comput aid design',95
'asian south pacif design autom asp dac design autom',95
'design autom test europ and exhibit date design autom test europ',95
'ieee transact comput aid design integr circuit system tcad pp',95
'nan',95
'twelfth intern vlsi veri larg scale integr design',95
'ieee transact comput aid design integr circuit system tcad',95
'acm intern symposium physic design ispd intern symposium physic design',95
'ieee transact comput aid design integr circuit system tcad pp',95
'acm intern symposium physic design ispd intern symposium physic design best paper award',95
'acm intern symposium physic design ispd intern symposium physic design',95
'th intern symposium qualiti electron design isq',95
'design autom test europ and exhibit date design autom test europ',95
'ieee intern symposium circuit system isca ieee intern symposium circuit system',95
'intern comput design iccd intern comput design',95
'isq',95
'ieee acm design autom dac design autom',95
'intern comput design iccd intern comput design',95
'iccd intern comput design',95
'ieee acm intern comput aid design iccad intern comput aid design',95
'ieee transact comput aid design integr circuit system tcad pp',95
'iccad intern comput aid design',95
'ieee acm design autom dac design autom',95
'rd intern symposium qualiti electron design isq',95
'acm intern symposium physic design ispd intern symposium physic design slide',95
'ieee transact veri larg scale integr system tvlsi pp',95
'dac design autom',95
'ieee acm design autom dac design autom',95
'ieee acm intern comput aid design iccad intern comput aid design',95
'ieee acm design autom dac design autom',95
'ieee acm design autom dac design autom',95
'ieee transact comput aid design integr circuit system tcad pp',95
'ieee acm intern comput aid design iccad intern comput aid design',95
'ieee acm design autom dac design autom',95
'integr rule base neural network assembl plan',96
'comput aid design volum number',96
'journal alloi compound',96
'nan',96
'neurocomput intern journal',96
'ieee tran system man cybernet smc',96
'engin design autom crc press',96
'ieee tran system man cybernet',96
'ieee tran neural network',96
'journal mathemat model scientif comput principia scientia',96
'nan',96
'neural network design manufactur edit j wang yoshiyasu takefuji world scientif publish inc',96
'artifici intellig engin design analysi manufactur',96
'ieee tran system man cybernet smc',96
'ieee transact robot autom ra',96
'asm press',96
'asm press',96
'ieee transact neural network',96
'journal modern optic',96
'journal smart engin system franci',96
'ieee tran system man cybernet part b',96
'nan',96
'intern journal comput mathemat applic pergamon press',96
'neurocomput',96
'ieee tran system man cybernet smc',96
'fuzzi set system elsevi scienc',96
'intern journal comput mathemat applic pergamon press',96
'intern journal comput mathemat applic pergamon press',96
'crc press isbn page',96
'intern journal mathemat analysi applic',96
