@relation 'Dataset dblp publish-venue ktanaka'
@attribute Text string
@attribute class-att {212, 213, 214, 215, 216, 217, 218, 219, 220, 221}
@data
'peer peer comput',212
'lcn ieee local comput network',212
'system comput',213
'fodo foundat data organ algorithm',213
'english tran ipsj',213
'world wide web',213
'proc rd int conf foundat data organ algorithm lectur note comput scienc springer verlag',213
'tran ipsj',213
'tran ipsj',213
'springer verlag',213
'tran iec e',213
'proc th int conf system scienc u s',213
'proc ieee rd int comput softwar applic conf',213
'proc ieee rd int comput softwar applic conf',213
'inform scienc elsevi scienc pub inc',213
'int j cooper inf syst',213
'tran the institut system control inform engin',213
'academ press proc conf consecut retriev properti',213
'proc the th ieee annual int comput softwar applic conf',213
'springer verlag',213
'proc int symp next gener databas system their applic nda fukuoka cpp',213
'proc the jssst object orient comput workshop appear object orient comput i kindai kagakusha',213
'databas system next gener applic advanc databas research develop seri world scientif publish',213
'proc int symp databas system advanc applic dasfaa databas system advanc applic',213
'tran ipsj',213
'proc int symp advanc databas technolog thier integr adti nara japancpp',213
'proc int symp advanc databas technolog thier integr adti nara',213
'proc th annual int comput softwar applic conf compsac intern comput softwar applic ieee comput societi press',213
'system comput',213
'system comput',213
'hypertext',213
'nan',213
'inform process ipsj',213
'inform process ipsj select ipsj th anniversari paper',213
'proc int symp comput world',213
'proc int symp interoper inform system intap tokyo',213
'plenum press',213
'proc int symp comput world',213
'int symp databas system advanc applic seoul korea',213
'proc th int conf system scienc',213
'dasfaa databas system advanc applic',213
'acm tran databas system',213
'vldb veri larg data base',213
'proc the th ieee int conf data engin',213
'proc int conf databas theori lectur note comput scienc springer verlag',213
'dexa databas expert system applic',213
'amcp advanc multimedia content process',213
'dexa databas expert system applic',213
'proc int conf foundat data organ kyoto plenum press',213
'theor comput sci',213
'proc th int conf veri larg data base',213
'dood deduct object orient databas',213
'adbi advanc databas inform system dasfaa databas system advanc applic',213
'dasfaa databas system advanc applic',213
'dasfaa databas system advanc applic',213
'dasfaa databas system advanc applic',213
'fodo foundat data organ algorithm',213
'er intern conceptu model entiti relationship approach',213
'vdb visual databas system',213
'icd intern data engin',213
'proc th int conf veri larg data base cann',213
'inform system pergamon press',213
'c',213
'proc rd int conf veri larg data base tokyo',213
'mfc mathemat foundat comput scienc',213
'digit citi',213
'coda second intern symposium cooper databas system advanc applic',213
'icsc intern comput scienc confer',213
'proc int conf databas expert system applic dexa springer verlag',213
'dexa databas expert system applic workshop',213
'dasfaa databas system advanc applic',213
'ds discoveri scienc',213
'apweb',213
'dexa databas expert system applic',213
'ieee intern multimedia expo iii',213
'www world wide web seri',213
'dexa databas expert system applic',213
'dasfaa databas system advanc applic',213
'dexa databas expert system applic',213
'kyoto intern digit librari',213
'hicss intern system scienc',213
'icd intern data engin',213
'proc the th int conf data engin ieee comput societi',213
'dasfaa databas system advanc applic',213
'dasfaa databas system advanc applic',213
'proc int symp databas system advanc applic dasfaa databas system advanc applic',213
'wwca worldwid comput it applic',213
'ieee tran knowledg data engin',213
