
 Results 
=====

Correctly Classified Instances         772               52.7322 %
Incorrectly Classified Instances       692               47.2678 %
Kappa statistic                          0.5044
K&B Relative Info Score              79239.5531 %
K&B Information Score                 4358.2989 bits      2.977  bits/instance
Class complexity | order 0            7924.5444 bits      5.4129 bits/instance
Class complexity | scheme           390129.1098 bits    266.4816 bits/instance
Complexity improvement     (Sf)    -382204.5654 bits   -261.0687 bits/instance
Mean absolute error                      0.0125
Root mean squared error                  0.0874
Relative absolute error                 55.9416 %
Root relative squared error             82.7508 %
Coverage of cases (0.95 level)          74.2486 %
Mean rel. region size (0.95 level)       5.837  %
Total Number of Instances             1464     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.883    0.051    0.728      0.883    0.798      0.768    0.937     0.764     1
                 0.875    0.016    0.741      0.875    0.803      0.794    0.957     0.736     2
                 0.600    0.045    0.382      0.600    0.467      0.449    0.886     0.452     3
                 0.591    0.020    0.481      0.591    0.531      0.517    0.860     0.550     4
                 0.302    0.019    0.325      0.302    0.313      0.293    0.774     0.203     5
                 0.750    0.009    0.698      0.750    0.723      0.715    0.942     0.543     6
                 0.694    0.055    0.358      0.694    0.473      0.469    0.851     0.332     7
                 0.692    0.005    0.837      0.692    0.758      0.753    0.915     0.762     8
                 0.621    0.007    0.643      0.621    0.632      0.624    0.919     0.489     9
                 0.571    0.013    0.387      0.571    0.462      0.461    0.856     0.232     10
                 0.667    0.013    0.424      0.667    0.519      0.523    0.889     0.251     11
                 0.294    0.015    0.323      0.294    0.308      0.292    0.731     0.179     12
                 0.362    0.013    0.486      0.362    0.415      0.403    0.790     0.373     13
                 0.313    0.003    0.500      0.313    0.385      0.390    0.814     0.264     14
                 0.188    0.006    0.250      0.188    0.214      0.209    0.620     0.063     15
                 0.444    0.008    0.400      0.444    0.421      0.414    0.852     0.410     16
                 0.444    0.005    0.696      0.444    0.542      0.547    0.750     0.369     17
                 0.273    0.004    0.333      0.273    0.300      0.297    0.945     0.485     18
                 0.500    0.005    0.650      0.500    0.565      0.563    0.837     0.412     19
                 0.646    0.020    0.525      0.646    0.579      0.567    0.861     0.574     20
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.512     0.006     21
                 0.000    0.006    0.000      0.000    0.000      -0.007   0.674     0.040     22
                 0.364    0.006    0.571      0.364    0.444      0.446    0.915     0.399     23
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.968     0.074     24
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.476     0.004     25
                 0.600    0.000    1.000      0.600    0.750      0.774    1.000     0.943     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.093     27
                 0.680    0.023    0.515      0.680    0.586      0.575    0.886     0.707     28
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.635     0.054     29
                 0.231    0.012    0.150      0.231    0.182      0.177    0.795     0.137     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.764     0.018     31
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.863     0.030     32
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.795     0.133     33
                 0.100    0.009    0.071      0.100    0.083      0.077    0.885     0.192     34
                 0.250    0.002    0.250      0.250    0.250      0.248    0.609     0.127     35
                 0.000    0.002    0.000      0.000    0.000      -0.002   0.748     0.201     36
                 0.500    0.001    0.500      0.500    0.500      0.499    0.746     0.185     37
                 0.250    0.001    0.500      0.250    0.333      0.352    0.734     0.154     38
                 0.529    0.006    0.692      0.529    0.600      0.597    0.865     0.573     39
                 0.750    0.003    0.375      0.750    0.500      0.529    0.873     0.326     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.724     0.017     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.609     0.008     42
                 1.000    0.001    0.667      1.000    0.800      0.816    0.999     0.583     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.142     44
                 0.067    0.014    0.048      0.067    0.056      0.045    0.696     0.068     45
                 0.588    0.004    0.769      0.588    0.667      0.666    0.925     0.657     46
                 0.250    0.000    1.000      0.250    0.400      0.499    0.724     0.351     47
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.472     0.003     48
                 0.556    0.011    0.484      0.556    0.517      0.509    0.871     0.595     49
                 0.000    0.003    0.000      0.000    0.000      -0.002   0.827     0.082     50
                 0.478    0.003    0.733      0.478    0.579      0.587    0.885     0.533     51
                 0.000    0.002    0.000      0.000    0.000      -0.002   0.829     0.191     52
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.472     0.002     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.153     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.830     0.141     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.487     0.002     56
                 0.000    0.002    0.000      0.000    0.000      -0.004   0.749     0.072     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.485     0.002     58
                 0.737    0.011    0.789      0.737    0.762      0.750    0.886     0.782     59
                 0.571    0.001    0.667      0.571    0.615      0.616    0.856     0.533     60
                 0.273    0.005    0.300      0.273    0.286      0.281    0.718     0.244     61
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.831     0.278     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.096     63
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.828     0.207     64
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.826     0.066     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.002     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.467     0.002     67
                 0.000    0.000    0.000      0.000    0.000      0.000    0.977     0.052     68
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.830     0.267     69
                 0.417    0.003    0.500      0.417    0.455      0.452    0.953     0.547     70
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.002     71
                 0.000    0.000    0.000      0.000    0.000      0.000    0.632     0.006     72
                 0.000    0.000    0.000      0.000    0.000      0.000    0.818     0.045     73
                 0.000    0.008    0.000      0.000    0.000      -0.010   0.779     0.133     74
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.001     75
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.495     0.001     76
                 0.000    0.000    0.000      0.000    0.000      0.000    0.481     0.001     77
                 0.000    0.000    0.000      0.000    0.000      0.000    0.474     0.001     78
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.333     79
                 0.000    0.000    0.000      0.000    0.000      0.000    0.485     0.001     80
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.068     81
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     82
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.113     83
                 0.000    0.000    0.000      0.000    0.000      0.000    0.493     0.001     84
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.001     85
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.001     86
Weighted Avg.    0.527    0.019    0.498      0.527    0.502      0.493    0.852     0.470     
