
 Results 
=====

Correctly Classified Instances         337               58.5069 %
Incorrectly Classified Instances       239               41.4931 %
Kappa statistic                          0.5378
K&B Relative Info Score              31779.8512 %
K&B Information Score                 1232.6729 bits      2.1401 bits/instance
Class complexity | order 0            2194.0746 bits      3.8092 bits/instance
Class complexity | scheme             1686.7843 bits      2.9284 bits/instance
Complexity improvement     (Sf)        507.2903 bits      0.8807 bits/instance
Mean absolute error                      0.0391
Root mean squared error                  0.1446
Relative absolute error                 56.2918 %
Root relative squared error             77.7018 %
Coverage of cases (0.95 level)          91.4931 %
Mean rel. region size (0.95 level)      19.5045 %
Total Number of Instances              576     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.012    0.000      0.000    0.000      -0.014   0.684     0.059     0
                 0.250    0.002    0.667      0.250    0.364      0.404    0.818     0.237     1
                 0.395    0.030    0.484      0.395    0.435      0.402    0.925     0.549     2
                 0.714    0.004    0.714      0.714    0.714      0.711    0.978     0.751     3
                 0.571    0.011    0.400      0.571    0.471      0.471    0.910     0.302     4
                 0.698    0.043    0.566      0.698    0.625      0.595    0.967     0.756     5
                 0.429    0.009    0.375      0.429    0.400      0.393    0.904     0.253     6
                 0.000    0.005    0.000      0.000    0.000      -0.006   0.975     0.223     7
                 0.500    0.016    0.308      0.500    0.381      0.381    0.977     0.288     8
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.600     0.009     9
                 0.750    0.111    0.609      0.750    0.672      0.592    0.933     0.819     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.770     0.018     11
                 1.000    0.012    0.300      1.000    0.462      0.544    0.989     0.222     12
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.305     0.005     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.049     0.003     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.456     0.008     15
                 0.000    0.002    0.000      0.000    0.000      -0.002   0.342     0.004     16
                 1.000    0.010    0.250      1.000    0.400      0.497    0.991     0.208     17
                 0.621    0.037    0.766      0.621    0.686      0.636    0.933     0.787     18
                 0.355    0.015    0.579      0.355    0.440      0.430    0.900     0.401     19
                 0.762    0.037    0.716      0.762    0.738      0.706    0.954     0.721     20
                 0.571    0.018    0.615      0.571    0.593      0.573    0.934     0.598     21
                 0.733    0.009    0.868      0.733    0.795      0.783    0.984     0.826     22
                 0.381    0.036    0.286      0.381    0.327      0.301    0.829     0.423     23
                 0.381    0.016    0.471      0.381    0.421      0.404    0.950     0.460     24
                 0.385    0.014    0.385      0.385    0.385      0.370    0.933     0.416     25
Weighted Avg.    0.585    0.042    0.592      0.585    0.579      0.544    0.919     0.639     
