
 Results 
=====

Correctly Classified Instances         848               57.9235 %
Incorrectly Classified Instances       616               42.0765 %
Kappa statistic                          0.5613
K&B Relative Info Score              85969.8132 %
K&B Information Score                 4728.4737 bits      3.2298 bits/instance
Class complexity | order 0            7924.5444 bits      5.4129 bits/instance
Class complexity | scheme             6636.6738 bits      4.5332 bits/instance
Complexity improvement     (Sf)       1287.8706 bits      0.8797 bits/instance
Mean absolute error                      0.0122
Root mean squared error                  0.0805
Relative absolute error                 54.7063 %
Root relative squared error             76.2216 %
Coverage of cases (0.95 level)          84.9727 %
Mean rel. region size (0.95 level)       8.9791 %
Total Number of Instances             1464     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.853    0.032    0.804      0.853    0.828      0.800    0.986     0.906     1
                 0.903    0.012    0.793      0.903    0.844      0.838    0.995     0.873     2
                 0.462    0.022    0.492      0.462    0.476      0.453    0.941     0.557     3
                 0.614    0.008    0.692      0.614    0.651      0.642    0.918     0.680     4
                 0.326    0.014    0.412      0.326    0.364      0.349    0.817     0.276     5
                 0.825    0.011    0.688      0.825    0.750      0.746    0.945     0.561     6
                 0.629    0.036    0.433      0.629    0.513      0.497    0.947     0.612     7
                 0.692    0.011    0.706      0.692    0.699      0.688    0.949     0.797     8
                 0.793    0.006    0.742      0.793    0.767      0.762    0.993     0.728     9
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.891     0.223     10
                 0.524    0.012    0.393      0.524    0.449      0.445    0.925     0.295     11
                 0.324    0.008    0.500      0.324    0.393      0.391    0.858     0.371     12
                 0.404    0.009    0.594      0.404    0.481      0.476    0.928     0.633     13
                 0.438    0.003    0.636      0.438    0.519      0.523    0.895     0.456     14
                 0.188    0.006    0.250      0.188    0.214      0.209    0.736     0.103     15
                 0.611    0.005    0.611      0.611    0.611      0.606    0.878     0.530     16
                 0.361    0.004    0.722      0.361    0.481      0.503    0.824     0.453     17
                 0.364    0.005    0.364      0.364    0.364      0.359    0.961     0.538     18
                 0.615    0.006    0.640      0.615    0.627      0.621    0.914     0.529     19
                 0.854    0.017    0.631      0.854    0.726      0.724    0.987     0.859     20
                 0.143    0.003    0.200      0.143    0.167      0.166    0.659     0.020     21
                 0.000    0.004    0.000      0.000    0.000      -0.005   0.794     0.071     22
                 0.576    0.005    0.731      0.576    0.644      0.642    0.977     0.659     23
                 0.000    0.008    0.000      0.000    0.000      -0.006   0.972     0.100     24
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.639     0.006     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.086     27
                 0.740    0.011    0.712      0.740    0.725      0.716    0.986     0.864     28
                 0.429    0.007    0.375      0.429    0.400      0.395    0.867     0.306     29
                 0.308    0.003    0.500      0.308    0.381      0.388    0.955     0.386     30
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.765     0.038     31
                 0.000    0.005    0.000      0.000    0.000      -0.004   0.945     0.035     32
                 0.600    0.005    0.273      0.600    0.375      0.402    0.813     0.139     33
                 0.400    0.004    0.400      0.400    0.400      0.396    0.898     0.361     34
                 0.250    0.001    0.500      0.250    0.333      0.352    0.911     0.410     35
                 0.000    0.002    0.000      0.000    0.000      -0.002   0.881     0.141     36
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.633     0.185     37
                 0.500    0.001    0.667      0.500    0.571      0.576    0.912     0.425     38
                 0.588    0.006    0.714      0.588    0.645      0.641    0.961     0.680     39
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.914     0.377     40
                 0.500    0.000    1.000      0.500    0.667      0.707    0.904     0.509     41
                 0.000    0.006    0.000      0.000    0.000      -0.004   0.662     0.009     42
                 1.000    0.001    0.667      1.000    0.800      0.816    0.999     0.525     43
                 0.500    0.007    0.167      0.500    0.250      0.286    0.993     0.187     44
                 0.400    0.002    0.667      0.400    0.500      0.513    0.957     0.558     45
                 0.676    0.006    0.719      0.676    0.697      0.690    0.976     0.779     46
                 0.500    0.000    1.000      0.500    0.667      0.707    0.730     0.503     47
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.680     0.008     48
                 0.778    0.008    0.656      0.778    0.712      0.709    0.973     0.724     49
                 0.667    0.001    0.500      0.667    0.571      0.576    0.694     0.667     50
                 0.739    0.004    0.739      0.739    0.739      0.735    0.984     0.800     51
                 0.667    0.003    0.333      0.667    0.444      0.470    0.778     0.279     52
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.590     0.005     53
                 1.000    0.006    0.250      1.000    0.400      0.498    0.994     0.175     54
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.847     0.132     55
                 0.000    0.005    0.000      0.000    0.000      -0.003   0.852     0.011     56
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.893     0.059     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.922     0.029     58
                 0.724    0.009    0.821      0.724    0.769      0.759    0.944     0.824     59
                 0.571    0.002    0.571      0.571    0.571      0.569    0.988     0.592     60
                 0.364    0.004    0.400      0.364    0.381      0.377    0.913     0.254     61
                 0.667    0.004    0.250      0.667    0.364      0.406    0.872     0.668     62
                 1.000    0.012    0.143      1.000    0.250      0.376    0.989     0.101     63
                 0.667    0.001    0.500      0.667    0.571      0.576    0.811     0.335     64
