@relation 'Dataset dblp publish-venue_co-authors agupta'
@attribute Text string
@attribute class-att {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25}
@data
'acm journal educ resourc comput a gonzalez a hamid c overstreet h wahab j wild k maly s ghanem x zhu',0
'ieee comput k maly s mynam',0
'ieee internet comput a youssef c overstreet e shaer e stoica h wahab j wild k maly',0
'ifip intern feder inform process world it tool b kvande i levinstein k maly m olson r mukkamala r chambers r whitney s nanjangud',0
'webnet c vemuru h syed h wahab k maly m kholief r mukkamala s dittakavi',0
'wetic workshop enabl technolog infrastructur collabor enterpris b kvande i levinstein k maly m olson r mukkamala r chambers r whitney s nanjangud',0
'wetic workshop enabl technolog infrastructur collabor enterpris a youssef c overstreet e stoica h wahab j wild k mary',0
'comput network isdn system a prabhu c vemuru h syed h wahab k maly r mukkamala',0
'hpn high perform network c overstreet h wahab k maly m kumar r srivastava',0
'idm interact distribut multimedia system telecommun servic m moran r bettati r oppliger',1
'icdc intern distribut comput system r bettati',1
'nossdav network oper system support digit audio video d ferrari m moran q nguyen r yavatkar r bettati w heffner w howe',1
'nossdav network oper system support digit audio video d ferrari g ventre',1
'infocom confer comput commun m moran q nguyen w howe',1
'multimedia syst d ferrari g ventre',1
'ieee acm tran netw d ferrari',1
'icmc intern multimedia comput system k rothermel',1
'intern workshop distribut comput kolkata proceed springer verlag s lnc seri u deshpande a basu',2
'kbc mumbai u deshpande a basu',2
'journal comput inform s ghosh s pemmaraju',2
'th annual acm symposium principl distribut comput s ghosh t herman s pemmaraju',2
'technic report tr depart comput scienc univers citi s ghosh s pemmaraju',2
'workshop self stabil system la vega s ghosh m karaata s pemmaraju',2
'technic report tr depart comput scienc univers citi s ghosh m karaata s pemmaraju',2
'acm southeastcon c mazumdar',2
'fronit knowledg base comput vijai p bhatkar kiran m rege ed narosa publish hous c mazumdar',2
'adcom intern advanc comput commun bhubaneswar n gururaj',2
'congressu numerantium m kortright r borie',2
'cit bhubaneswar v madhu p singhal',2
'rd intern workshop distribut comput calcutta h paul r badrinath',2
'pdc parallel distribut comput system iast intern parallel distribut comput system h paul r badrinath',2
'pdpta parallel distribut process techniqu applic intern parallel distributd process techniqu applic la vega h paul r badrinath',2
'cit th intern inform technolog gopalpur sea h paul r badrinath',2
'concurr comput practic experi h paul r badrinath',2
'poster present hpc asia bangalor h paul r badrinath',2
