@relation 'Dataset dblp publish-venue_co-authors djohnson'
@attribute Text string
@attribute class-att {197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211}
@data
'ibm system journal a le j wilkins s matyas',197
'ibm system journal g dolan',197
'ibm system journal a le g dolan m kelly s matyas',197
'acm comput commun secur a le j wilkins s matyas',197
'icpp intern parallel process d lilja j riedl',198
'icpp intern parallel process d lilja j riedl',198
'j parallel distrib comput d lilja j anderson j riedl',198
'rsa d brown',199
'ae candid nan',199
'ieee comput b kingsbury j beck j wawrzynek k asanovic n morgan',200
'nip neural inform process system b kingsbury j beck j wawrzynek k asanovic n morgan',200
'lisp function program nan',201
'asplo architectur support program languag oper system nan',201
'oop messeng c berman j coplien j daniels k rubin l hill',202
'oopsla object orient program system languag applic c berman j coplien j daniels k rubin l hill',202
'j algorithm nan',203
'j algorithm nan',203
'siam societi industri appli mathemat journal appli mathemat m garey',203
'siam societi industri appli mathemat j appl math m garey',203
'j complex m garey',203
'siam societi industri appli mathemat j comput m garey',203
'american mathemat societi m goldwasser c editors',203
'ieee tran vehicular technolog z haas j winters',203
'j algorithm nan',203
'http www research att com dsj chtsp index html m maintainer',203
'http www research att com dsj nsflist html nan',203
'acm press nan',203
'american mathemat societi m editors',203
'travel salesman problem e l lawler j k lenstra h g rinnooi kan d b shmoi editor john wilei son ltd c papadimitriou',203
'handbook theor comp sci j van leeuwen editor elsevi nan',203
'academ press new t nishizeki a nozaki h editors',203
'j graph theori h pollack',203
'travel salesman problem it variat g gutin a punnen editor kluwer academ publish dordrecht l mcgeoch',203
'travel salesman problem it variat g gutin a punnen editor kluwer academ publish dordrecht g gutin l mcgeoch a yeo w zhang a zverovich',203
'natur page nan',203
'math oper research k niemi',203
'academ press collect np complet column nan',203
'j comb theori b nan',203
'j algorithm nan',203
'monograph prepar j bentley l mcgeoch e rothberg',203
'proc th southeastern conf comb graph theori comput nan',203
'siam societi industri appli mathemat j comput m garey r graham a demers j ullman',203
'american mathemat societi c editors',203
'travel salesman problem e l lawler j k lenstra h g rinnooi kan d b shmoi editor john wilei son ltd c papadimitriou',203
'siam societi industri appli mathemat j comput a klug',203
'oper research c aragon l mcgeoch c shevon',203
'new scientist page nan',203
'j algorithm nan',203
'network j lenstra a kan',203
'sigact new nan',203
'local search combinatori optim e h l aart j k lenstra editor john wilei son ltd l mcgeoch',203
'proceed the th th dimac implement challeng m goldwass d s johnson c c mcgeoch editor american mathemat societi nan',203
'j algorithm nan',203
'siam societi industri appli mathemat j comput a klug',203
'siam societi industri appli mathemat j comput a lapaugh e coffman m garey',203
'proceed infocom confer comput commun z mao j rexford j wang r katz',203
'j algorithm nan',203
'j algorithm nan',203
'siam societi industri appli mathemat j comput c papadimitriou e dahlhaus m yannakakis p seymour',203
'siam societi industri appli mathemat j comput b simons m garey r tarjan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'j algorithm nan',203
'updat j algorithm nan',203
'proced the fifth workshop algorithm engin experiment r e ladner editor siam societi industri appli mathemat d applegate l buriol b dillard p shor',203
'oper research c aragon l mcgeoch c schevon',203
'proc st ann allerton conf commun control comput j bentley f leighton c mcgeoch',203
