@relation 'Dataset dblp publish-venue_co-authors jlee'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100}
@data
'vl visual languag tosiyasu l kunii',100
'icchp intern confer comput handicap person nan',100
'th annual intern symposium comput architectur isca intern symposium comput architectur yan solihin josep torrellas',10
'proceed multithread execut architectur compil mteac yan solihin josep torrellas',10
'extend version ieee transact comput special issu advanc high perform memori system yan solihin josep torrellas',10
'ieee tran parallel distrib syst josep torrellas yan solihin',10
'intellig memori system josep torrellas yan solihin',10
'ieee tran comput josep torrellas yan solihin',10
'hpca intern symposium high perform comput architectur josep torrellas yan solihin',10
'ispan chi leung wong david a padua samuel p midkiff xing fang zehra sura',10
'tapsoft anca browne arjun kapur edward y chang harish devarajan henny sipma luca de alfaro michael col oacute n nikolaj bj oslash rner tom aacute s e uribe zohar manna',10
'extend version acm transact program languag system david a padua samuel p midkiff',10
'proceed th acm sigplan special interest group program languag symposium principl practic parallel program ppopp david a padua samuel p midkiff',10
'proceed th intern symposium high perform comput architectur hpca intern symposium high perform comput architectur yan solihin josep torrellas',10
'ph d thesi technic report uiucdc r depart comput scienc univers nan',10
'th compil parallel comput cpc samuel p midkiff david a padua',10
'proceed th intern languag compil parallel comput lcpc languag compil parallel comput lectur note comput scienc springer twin citi samuel p midkiff david a padua',10
'ppopp principl practic parallel program david a padua samuel p midkiff',10
'intern journal parallel program samuel p midkiff david a padua',10
'lcpc languag compil parallel comput david a padua samuel p midkiff',10
'extend version ieee transact comput special issu parallel architectur compil techniqu david a padua',10
'intern journal parallel program david a padua samuel p midkiff',10
'technic report msu cse present oopsla confer object orient program system languag applic revis java thread specif depart comput scienc engin state univers nan',10
'ieee pact parallel comput technolog david a padua',10
'proceed hpca intern symposium high perform comput architectur interact compil comput architectur san antonio david a padua',10
'ieee tran comput david a padua',10
'ieee comput david a padua jay hoeflinger john grout lawrence rauchwerger peng tu ramon doallo rudolf eigenmann thomas lawrence william blume william m pottenger yunheung paek',10
'icpp intern confer parallel process david a padua jay hoeflinger john grout keith faigin lawrence rauchwerger paul petersen peng tu rudolf eigenmann stephen weatherford thomas lawrence william blume william m pottenger yunheung paek',10
'proceed intellig memori system yan solihin josep torrellas',10
'prima intern multi agent nan',11
'atal agent theori architectur languag nan',11
'barr p cohen feigenbaum weslei edmund h durfee victor r lesser daniel d corkill',11
's shapiro ed encyclopedia artifici intellig second edit wilei edmund h durfee victor r lesser daniel d corkill',11
'proceed thirteenth intern distribut artifici intellig page edmund h durfee jeffrey s rosenschein',11
'aaai nation confer artifici intellig edmund h durfee piotr j gmytrasiewicz',11
'prima intern multi agent suk i yoo yong s choi',11
'atal agent theori architectur languag edmund h durfee',11
'aaai nation confer artifici intellig edmund h durfee',11
'agent edmund h durfee marcus j huber michael kurnow',11
'ieee transact knowledg data engin kde edmund h durfee victor r lesser daniel d corkill',11
'proceed first intern confer multi agent system edmund h durfee',11
'proceed tenth nation confer artifici intellig page edmund h durfee',11
'g hare n ed foundat distribut artifici intellig wilei edmund h durfee',11
'ieee transact system man cybernet special issu distribut artifici intellig smc edmund h durfee',11
'ecml european confer machin learn daeeun kim',11
'icann int confer artifici neural network daeeun kim',11
'pakdd pacif asia confer knowledg discoveri data mine daeeun kim',11
'flair ai research societi confer confer nan',11
'compsac intern comput softwar applic confer suk i yoo yong s choi',11
'ieee tran parallel distrib syst p c wong',12
'proc th intern confer inform system icei intern confer inform system anger y w wong jack y b lee',12
'icc intern confer commun p c wong',12
'ieee transact multimedia jack y b lee',12
'ieee transact parallel distribut system jack y b lee p c wong',12
'ieee multimedia jack y b lee',12
'ieee transact circuit system video technolog jack y b lee',12
'infocom confer comput commun p c wong',12
'ieee transact circuit system video technolog jack y b lee',12
'evo workshop p c wong',12
'proc ieee intern confer multimedia expo lausann jack y b lee w t leng',12
'resourc manag comput system network eighth ieee symposium parallel distribut process new orlean y b lee p c wong',12
'ieee transact multimedia jack y b lee',12
'proc ieee infocom confer comput commun y b lee p c wong',12
'ieee transact parallel distribut system jack y b lee john c s lui',12
'proc ieee isc y b lee p c wong',12
'icpad intern confer parallel distribut system raymond w t leung',12
'internet collabor comput higher educ peer peer beyond w t leung jack y b lee',12
'ieee multimedia nan',12
'proc ieee th intern confer applic specif system architectur processor asap hagu p h chan jack y b lee',12
'euro par c y chan',12
'proc high perform larg scale comput hp lsc confer nottingham uk t k ho jack y b lee',12
'ccgrid tsz kin ho',12
'ieee transact circuit system video technolog h l lai jack y b lee l k chen',12
'proc intern symposium cluster comput grid t k ho jack y b lee',12
'proc th intern confer advanc inform network applic aina advanc inform network applic fukuoka l s lam jack y b lee s c liew w wang',12
'peer peer comput tsz kin ho',12
'ieee transact circuit system video technolog jack y b lee',12
'icpad intern confer parallel distribut system chun wai kong',12
'ieee transact multimedia jack y b lee',12
'proc ieee intern symposium circuit system sydnei h l lai l k chen jack y b lee',12
'proc ieee intern confer multimedia expo icm u s w c liu jack y b lee',12
'ieee transact circuit system video technolog jack y b lee',12
'ieee tran parallel distrib syst john c s lui',12
'proc intern confer parallel distribut system jack y b lee w t leung',12
'icc intern confer commun p c wong y b lee',12
'journal visual commun imag represent jack y b lee p c wong',12
'ieee journal select area commun h p sze s c liew jack y b lee c s yip',12
'ieee transact circuit system video technolog jack y b lee c h lee',12
'ieee commun letter h p sze s c liew jack y b lee',12
'ieee commun letter jack y b lee',12
'journal inform scienc engin kong chun wai jack y b lee',12
'proc intern confer softwar telecommun comput network softcom crotia vincent c h lee jack y b lee',12
'proc intern confer parallel distribut system kong chun wai jack y b lee',12
'ec acm confer electron web ho soo lee jayant kalagnanam martin bichler',13
'ec acm confer electron web ho soo lee priscilla wang',13
'icei intern confer inform system ho soo lee priscilla wang',13
'acm confer electron mark podlaseck',13
'ec acm confer electron web mark podlaseck',13
'data mine knowledg discoveri edith schonberg mark podlaseck robert hoch',13
'webkdd edith schonberg mark podlaseck robert hoch stephen gomory',13
'human societi internet sang goo lee suekyung lee',13
'isad intern symposium autonom decentr system jen yao chung',13
'inf process lett prabhudev konana sudha ram',13
'intern journal imag graphic nan',13
'accv asian confer comput vision dinggang shen ruihua ma wei xiong',14
'storag retriev imag video databas spie intern societi optic engin liu sheng huang qing li wei xiong',14
'storag retriev imag video databas spie intern societi optic engin man ching ip wei xiong',14
'storag retriev imag video databas spie intern societi optic engin ruihua ma wei xiong',14
'mach vi appl rui hua ma wei xiong',14
'storag retriev imag video databas spie intern societi optic engin wei xiong',14
'multimedia tool applic qing li wei xiong',14
'accv asian confer comput vision ting chuen pong zoltan kato',14
'vdb visual databas system qing li',14
'caivd anil k jain g sudhir',14
'pattern recognit letter ting chuen pong zoltan kato',14
'journal system architectur dongwook kim seungkyu park',15
'ieic transact inform system kisok kong manhee kim',15
'ieic transact inform system appear sangbum lee inbum jung',15
'intern parallel comput aizu sang kwon lee minhee cho hyeon ju yoon seong bae eun hyunsoo yoon jungwan cho',15
'rd int l symp parallel architectur algorithm network taipei yunseok rhee',15
'scalabl share memori multiprocessor serial umakishore ramachandran',15
'fifth intern symposium high perform comput architectur yunseok rhee',15
'th intl conf parallel distribut comput system dijon inseon lee hyogun lee',15
'intern symposium share memori multiprocessor serial tokyo anand siva gautam sha u ramachandran h venkat',15
'intern journal comput applic hyogun lee',15
'eighth scalabl share memori multiprocessor serial vivekanand vellanki nissim harel namgeun jeong umakishore ramachandran',15
'intern journal comput applic technolog hyogun lee inseon lee',15
'sac select area cryptographi heon young yeom ilhwan kim',15
'mit press j w lee u ramachandran',15
'icpad intern confer parallel distribut system k yoon',15
'icmc intern confer multimedia comput system hyogun lee manhee kim',15
'icpp intern confer parallel process workshop hyeon ju yoon hyunsoo yoon jung wan cho minhee cho sang kwon lee seong bae eun',15
'int l symp internet technolog jeonghwan choi hyogun lee',15
'intern journal parallel program inbum jung jongwoong hyun joongsoo ma',15
'ieic transact inform system d w kim j w lee',15
'th int l conf high perform comput system applic edmont dongwook kim eunjin kim',15
'euro par dongwook kim',15
'passau dongwook kim',15
'th int l conf inform network tokyo inhwan kim heon y yeom',15
'int l conf multimedia comput system manhee kim hyogun lee',15
'th int l symp high perform comput dongwook kim',15
'acm symposium parallel algorithm architectur serial atlant citi umakishore ramachandran',15
'share memori multiprocessor j w lee u ramachandran',15
'annual intern symposium comput architectur serial j w lee u ramachandran',15
'journal research practic inform technolog j ma s cho',15
'journal parallel distribut system u ramachandran j w lee',15
'spaa acm symposium parallel algorithm architectur umakishore ramachandran',15
'isca intern symposium comput architectur umakishore ramachandran',15
'kluwer academ press yunseok rhee',15
'ieee int l conf imag process switzerl rosann yoonsuk rhee',15
'journal system architectur yunseok rhee',15
'proceed intern parallel distribut process symposium ipdp intern parallel distribut process symposium nice x ma m winslett s yu',16
'ic intern confer supercomput marianne winslett shengke yu xiaosong ma',16
'ssdbm statist scientif databas manag marianne winslett shengke yu xiaosong ma',16
'iopad parallel distribut system marianne winslett szu wen kuo ying chen yong cho',16
'ipdp intern parallel distribut process symposium marianne winslett shengke yu xiaosong ma',16
'ipdp intern parallel distribut process symposium marianne winslett shengke yu xiaosong ma',16
'ipdp intern parallel distribut process symposium marianne winslett shengke yu xiaosong ma',16
'idea intern databas engin applic symposium marianne winslett szu wen kuo yong cho',16
'intern confer supercomput marianne winslett szu wen kuo ying chen yong e cho',16
'ishpc high perform comput marianne winslett peter brezany',16
'ic intern confer supercomput marianne winslett shengke yu xiaosong ma',16
'proceed intern confer supercomput ic intern confer supercomput new m winslett x ma s yu',16
'proceed intern confer scientif statist databas manag ssdbm statist scientif databas manag m winslett x ma s yu',16
'proceed intern parallel distribut process symposium ipdp intern parallel distribut process symposium fort lauderdal m winslett x ma s yu',16
'proceed intern parallel distribut process symposium ipdp intern parallel distribut process symposium fort lauderdal x ma m winslett s yu',16
'isca ieee intern symposium circuit system jhing fa wang lian ying liu ming hwa sheu',17
'isca ieee intern symposium circuit system an nan suen jhing fa wang lian ying liu ming hwa sheu',17
'parallel comput chu sing yang jhing fa wang tsung chuan huang',17
'comput aid design jhing fa wang tah yuan kuo',17
'ieee transact pattern analysi machin intellig chin shyurng fahn jhing fa wang',17
'ieee tran comput chiou ying lee erl huei lu',17
'dac design autom confer j f wang t y kuo',17
'dac design autom confer j f wang t y kuo',17
'nan t conlon r cox j mckendree k stenning',18
'nan r cox j mckendree r tobin t mayes',18
'nan r coyne',18
'proceed th intern europia confer r coyne m ramscar k zreik',18
'nan c gurr k stenning',18
'nan d he g ritchie',18
'nan d he g ritchie',18
'icmi advanc multimod interfac daqing he graeme ritchie',18
'nan r inder j kilgour',18
'sac select area cryptographi jonathan kilgour robert inder',18
'nan nan',18
'nan nan',18
'nan j mckendree f dineen r cox',18
'nan j mckendree k stenning t mayes r cox',18
'nan b kemp t manz',18
'nan j mckendree f dineen j t mayes',18
'nan j mckendree finbar dineen terry mayes',18
'nan j mckendree f dineen j t mayes',18
'nan j mckendree f dineen r cox t mayes k stenning',18
'int j hum comput stud n hari narayanan patrick g t healey yasuhiro katagiri',18
'nan k stenning',18
'int j hum comput stud irene neilson',18
'nan nan',18
'nan m ramscar h pain',18
'nan h zeevat',18
'nan m ramscar h pain',18
'nan m ramscar',18
'nan m ramscar h pain s darrington',18
'nan m ramscar h pain',18
'nan nan',18
'nan nan',18
'nan nan',18
'nan nan',18
'nan k stenning j mckendree r cox f dineen t mayes',18
'nan nan',18
'multimod human comput commun keith stenning',18
'nan f dineen j mckendree',18
'nan d wang',18
'icalt ieee intern confer advanc learn technolog antony maciocia duncan abela manolis mavrikis',18
'nan d wang',18
'intellig tutor system manolis mavrikis',18
'nan d wang h zeevat',18
'nan m t maybury',18
'interact intern confer human comput interact henk zeevat',18
'nan t mayes f dineen j smith',18
'ic ai artifici intellig joong kyung ryu kyung yong jung',19
'australian joint confer artifici intellig kyung yong jung',19
'dexa databas expert system applic kyung yong jung young joo na',19
'dawak su jeong ko',19
'ec acm confer electron web su jeong ko',19
'iea industri engin applic aie artifici intellig expert system jun hyeog choi su jeong ko',19
'dexa databas expert system applic su jeong ko',19
'seventh ieee intern confer tool artifici intellig ieee comput societi press p d c j h m lee h f leung h w won',1
'artif intel kenneth m f choi peter j stuckey',1
'acm symposium appli comput acm press j h m lee h f leung',1
'cp principl practic constraint program chiu wo choi peter j stuckey',1
'asian asian comput scienc confer ho fung leung hon wing won peter j stuckey v w l tam',1
'sixth ieee intern confer tool artifici intellig ieee comput societi press new orlean j h m lee t w lee',1
'fgc fifth gener comput system maarten h van emden',1
'fuzz ieee ho fung leung xudong luo',1
'depart comput scienc engin chines univers hong kong public comput languag j h m lee h f leung',1
'j log program maarten h van emden',1
'ecai european confer artifici intellig ho fung leung xudong luo',1
'journal logic program north j h m lee m h van emden',1
'cp principl practic constraint program ho fung leung hon wing won',1
'th australian joint confer artifici intellig page springer verlag lnai brisban j h m lee h f leung h w won',1
'comput lang p k c pun',1
'ieee pacif rim confer commun comput signal process ieee comput societi press j h m lee m h van emden',1
'ooi object orient inform system p k c pun',1
'asian comput scienc confer page springer verlag lnc j h m lee h f leung p j stuckey v w l tam h w won',1
'intern journal artifici intellig tool world scientif j h m lee v w l tam',1
'cp principl practic constraint program chi kan cheng peter j stuckey',1
'ictai intern confer tool artifici intellig v w l tam',1
'eighth ieee intern confer tool artifici intellig page ieee comput societi press toulous b m w cheng j h m lee j c k wu',1
'australian joint confer artifici intellig h w won ho fung leung',1
'constraint b m w cheng j c k wu kenneth m f choi',1
'softwar qualiti product c c k wong j c k leung',1
'ieee transact inform technolog biomedicin b m w cheng j c k wu',1
'second intern confer principl practi ce constraint program page springer verlag lnc b m w cheng j h m lee j c k wu',1
'intern confer fifth gener comput system tokyo m h m cheng m h van emden j h m lee',1
'second intern confer principl practic constraint program page springer verlag lnc c k chiu c m chou j h m lee h f leung y w leung',1
'constraint c k chiu c m chou ho fung leung y w leung',1
'depart comput scienc engin chines univers hong kong public constraint c k chiu c m chou j h m lee h f leung y w leung',1
'fgc fifth gener comput system maarten h van emden mantis h m cheng',1
'aaai nation confer artifici intellig iaai twelfth innov applic artifici intellig hai fang peter j stuckey y kilani',1
'cp principl practic constraint program kin chuen hui philippe codognet stefano bistarelli',1
