
 Results 
=====

Correctly Classified Instances         482               83.6806 %
Incorrectly Classified Instances        94               16.3194 %
Kappa statistic                          0.818 
K&B Relative Info Score              45472.9589 %
K&B Information Score                 1763.7995 bits      3.0622 bits/instance
Class complexity | order 0            2194.0746 bits      3.8092 bits/instance
Class complexity | scheme             1331.8089 bits      2.3122 bits/instance
Complexity improvement     (Sf)        862.2656 bits      1.497  bits/instance
Mean absolute error                      0.0134
Root mean squared error                  0.1045
Relative absolute error                 19.2738 %
Root relative squared error             56.1631 %
Coverage of cases (0.95 level)          87.3264 %
Mean rel. region size (0.95 level)       4.8344 %
Total Number of Instances              576     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.889    0.002    0.889      0.889    0.889      0.887    1.000     0.989     0
                 0.625    0.000    1.000      0.625    0.769      0.788    0.987     0.801     1
                 0.816    0.011    0.838      0.816    0.827      0.815    0.981     0.888     2
                 0.857    0.004    0.750      0.857    0.800      0.799    0.999     0.948     3
                 0.714    0.002    0.833      0.714    0.769      0.769    0.997     0.851     4
                 0.977    0.004    0.955      0.977    0.966      0.963    0.999     0.993     5
                 0.429    0.005    0.500      0.429    0.462      0.457    0.907     0.546     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.750    0.004    0.750      0.750    0.750      0.746    0.971     0.825     8
                 0.333    0.000    1.000      0.333    0.500      0.576    0.773     0.347     9
                 0.907    0.038    0.845      0.907    0.875      0.846    0.986     0.956     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.864     0.282     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.333    0.002    0.500      0.333    0.400      0.406    0.959     0.388     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.250     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.338     0.004     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.502     0.010     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.916    0.021    0.897      0.916    0.906      0.888    0.993     0.974     18
                 0.774    0.007    0.857      0.774    0.814      0.805    0.981     0.896     19
                 0.794    0.027    0.781      0.794    0.787      0.761    0.981     0.897     20
                 0.857    0.011    0.800      0.857    0.828      0.819    0.989     0.924     21
                 0.889    0.009    0.889      0.889    0.889      0.879    0.991     0.931     22
                 0.714    0.020    0.577      0.714    0.638      0.627    0.980     0.724     23
                 0.857    0.011    0.750      0.857    0.800      0.794    0.991     0.792     24
                 0.692    0.004    0.818      0.692    0.750      0.747    0.991     0.785     25
Weighted Avg.    0.837    0.018    0.827      0.837    0.829      0.815    0.981     0.898     
