
 Results 
=====

Correctly Classified Instances        1189               83.7914 %
Incorrectly Classified Instances       230               16.2086 %
Kappa statistic                          0.8337
K&B Relative Info Score             117265.0834 %
K&B Information Score                 6947.2335 bits      4.8959 bits/instance
Class complexity | order 0            8297.1524 bits      5.8472 bits/instance
Class complexity | scheme             3973.2525 bits      2.8    bits/instance
Complexity improvement     (Sf)       4323.9    bits      3.0471 bits/instance
Mean absolute error                      0.0034
Root mean squared error                  0.0523
Relative absolute error                 17.3603 %
Root relative squared error             52.9616 %
Coverage of cases (0.95 level)          87.7378 %
Mean rel. region size (0.95 level)       1.3319 %
Total Number of Instances             1419     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.933    0.004    0.918      0.933    0.926      0.922    0.985     0.951     1
                 0.958    0.001    0.986      0.958    0.972      0.970    1.000     0.996     2
                 0.912    0.003    0.929      0.912    0.920      0.917    0.998     0.972     3
                 0.762    0.010    0.533      0.762    0.627      0.631    0.985     0.760     4
                 0.963    0.000    1.000      0.963    0.981      0.981    0.999     0.988     5
                 0.903    0.001    0.966      0.903    0.933      0.932    1.000     0.992     6
                 1.000    0.001    0.968      1.000    0.984      0.983    1.000     1.000     7
                 0.620    0.015    0.608      0.620    0.614      0.600    0.966     0.708     8
                 0.885    0.006    0.742      0.885    0.807      0.806    0.987     0.878     9
                 0.889    0.000    1.000      0.889    0.941      0.942    0.990     0.912     10
                 0.700    0.001    0.875      0.700    0.778      0.780    0.977     0.831     11
                 0.864    0.004    0.864      0.864    0.864      0.859    0.995     0.932     12
                 0.636    0.004    0.583      0.636    0.609      0.606    0.970     0.641     13
                 0.818    0.002    0.750      0.818    0.783      0.782    0.990     0.894     14
                 0.889    0.010    0.696      0.889    0.780      0.780    0.993     0.915     15
                 0.933    0.000    1.000      0.933    0.966      0.966    1.000     0.996     16
                 0.875    0.001    0.875      0.875    0.875      0.874    0.991     0.851     17
                 0.844    0.020    0.585      0.844    0.691      0.691    0.987     0.839     18
                 0.857    0.001    0.857      0.857    0.857      0.856    0.999     0.924     19
                 0.857    0.000    1.000      0.857    0.923      0.925    0.983     0.863     20
                 0.571    0.001    0.800      0.571    0.667      0.675    0.993     0.783     21
                 0.688    0.005    0.611      0.688    0.647      0.644    0.971     0.706     22
                 0.868    0.005    0.868      0.868    0.868      0.863    0.994     0.935     23
                 0.964    0.001    0.964      0.964    0.964      0.964    0.999     0.982     24
                 0.933    0.001    0.933      0.933    0.933      0.933    1.000     0.975     25
                 0.714    0.001    0.833      0.714    0.769      0.770    0.930     0.750     26
                 0.878    0.008    0.867      0.878    0.873      0.865    0.990     0.921     27
                 0.833    0.004    0.750      0.833    0.789      0.788    0.998     0.910     28
                 1.000    0.002    0.667      1.000    0.800      0.816    1.000     0.917     29
                 0.900    0.001    0.818      0.900    0.857      0.857    0.992     0.908     30
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     31
                 1.000    0.004    0.872      1.000    0.932      0.932    0.998     0.872     32
                 0.600    0.003    0.429      0.600    0.500      0.505    0.993     0.487     33
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     34
                 0.400    0.001    0.667      0.400    0.500      0.515    0.927     0.685     35
                 0.800    0.000    1.000      0.800    0.889      0.894    1.000     1.000     36
                 0.600    0.001    0.750      0.600    0.667      0.670    0.994     0.722     37
                 0.800    0.000    1.000      0.800    0.889      0.894    1.000     1.000     38
                 0.600    0.004    0.333      0.600    0.429      0.445    0.976     0.659     39
                 0.600    0.000    1.000      0.600    0.750      0.774    1.000     1.000     40
                 0.400    0.004    0.286      0.400    0.333      0.335    0.954     0.507     41
                 0.500    0.002    0.400      0.500    0.444      0.445    0.998     0.653     42
                 0.818    0.000    1.000      0.818    0.900      0.903    0.974     0.871     43
                 0.750    0.000    1.000      0.750    0.857      0.866    0.938     0.753     44
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     45
                 0.750    0.003    0.692      0.750    0.720      0.718    0.984     0.803     46
                 0.935    0.000    1.000      0.935    0.967      0.967    0.998     0.964     47
                 0.767    0.001    0.920      0.767    0.836      0.837    0.993     0.890     48
                 0.920    0.001    0.920      0.920    0.920      0.919    0.999     0.968     49
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     50
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     0.917     51
                 0.333    0.001    0.500      0.333    0.400      0.407    0.996     0.448     52
                 0.667    0.001    0.667      0.667    0.667      0.666    0.988     0.685     53
                 0.333    0.000    1.000      0.333    0.500      0.577    0.948     0.353     54
                 0.667    0.000    1.000      0.667    0.800      0.816    0.843     0.668     55
                 0.333    0.000    1.000      0.333    0.500      0.577    1.000     1.000     56
                 0.781    0.003    0.862      0.781    0.820      0.817    0.995     0.887     57
                 0.944    0.002    0.919      0.944    0.932      0.930    1.000     0.986     58
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     59
                 1.000    0.001    0.750      1.000    0.857      0.866    1.000     1.000     60
                 0.659    0.007    0.750      0.659    0.701      0.695    0.964     0.736     61
                 0.667    0.000    1.000      0.667    0.800      0.816    0.999     0.833     62
                 0.333    0.001    0.500      0.333    0.400      0.407    0.972     0.475     63
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     64
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     65
                 0.667    0.002    0.400      0.667    0.500      0.515    0.998     0.387     66
                 0.950    0.003    0.826      0.950    0.884      0.884    0.995     0.898     67
                 0.000    0.003    0.000      0.000    0.000      -0.002   0.837     0.044     68
