
 Results 
=====

Correctly Classified Instances        1094               86.4822 %
Incorrectly Classified Instances       171               13.5178 %
Kappa statistic                          0.8554
K&B Relative Info Score             105568.9891 %
K&B Information Score                 5264.6428 bits      4.1618 bits/instance
Class complexity | order 0            6179.9305 bits      4.8853 bits/instance
Class complexity | scheme             3625.1606 bits      2.8657 bits/instance
Complexity improvement     (Sf)       2554.7699 bits      2.0196 bits/instance
Mean absolute error                      0.004 
Root mean squared error                  0.0559
Relative absolute error                 15.2006 %
Root relative squared error             48.7118 %
Coverage of cases (0.95 level)          90.1976 %
Mean rel. region size (0.95 level)       1.7903 %
Total Number of Instances             1265     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.906    0.016    0.821      0.906    0.861      0.851    0.994     0.938     1
                 0.882    0.004    0.900      0.882    0.891      0.887    0.994     0.947     2
                 0.918    0.008    0.882      0.918    0.899      0.893    0.996     0.963     3
                 0.857    0.000    1.000      0.857    0.923      0.925    1.000     1.000     4
                 0.908    0.008    0.868      0.908    0.887      0.881    0.989     0.928     5
                 0.955    0.001    0.955      0.955    0.955      0.954    0.998     0.957     6
                 0.889    0.001    0.889      0.889    0.889      0.888    1.000     0.960     7
                 0.913    0.003    0.840      0.913    0.875      0.873    0.997     0.924     8
                 0.625    0.000    1.000      0.625    0.769      0.790    0.999     0.931     9
                 0.913    0.003    0.840      0.913    0.875      0.873    0.997     0.937     10
                 0.957    0.003    0.966      0.957    0.961      0.957    0.999     0.991     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.571    0.002    0.571      0.571    0.571      0.569    0.990     0.587     13
                 0.850    0.000    1.000      0.850    0.919      0.921    0.993     0.922     14
                 0.857    0.000    1.000      0.857    0.923      0.925    0.934     0.859     15
                 0.833    0.001    0.833      0.833    0.833      0.833    1.000     0.976     16
                 0.833    0.000    1.000      0.833    0.909      0.913    1.000     1.000     17
                 0.957    0.012    0.948      0.957    0.953      0.942    0.992     0.982     18
                 0.683    0.006    0.800      0.683    0.737      0.731    0.981     0.832     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.500    0.000    1.000      0.500    0.667      0.706    0.951     0.595     21
                 0.750    0.001    0.938      0.750    0.833      0.836    0.993     0.843     22
                 0.739    0.004    0.773      0.739    0.756      0.751    0.990     0.831     23
                 0.833    0.002    0.625      0.833    0.714      0.720    0.985     0.842     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.741    0.010    0.625      0.741    0.678      0.673    0.981     0.761     26
                 0.800    0.000    1.000      0.800    0.889      0.894    0.970     0.805     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
                 0.600    0.001    0.750      0.600    0.667      0.670    1.000     0.877     30
                 1.000    0.002    0.750      1.000    0.857      0.865    1.000     1.000     31
                 0.696    0.007    0.640      0.696    0.667      0.661    0.954     0.720     32
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     33
                 0.800    0.002    0.909      0.800    0.851      0.850    0.986     0.881     34
