
 Results 
=====

Correctly Classified Instances         482               83.6806 %
Incorrectly Classified Instances        94               16.3194 %
Kappa statistic                          0.8164
K&B Relative Info Score              39896.2506 %
K&B Information Score                 1547.4908 bits      2.6866 bits/instance
Class complexity | order 0            2194.0746 bits      3.8092 bits/instance
Class complexity | scheme             4923.2489 bits      8.5473 bits/instance
Complexity improvement     (Sf)      -2729.1743 bits     -4.7381 bits/instance
Mean absolute error                      0.033 
Root mean squared error                  0.109 
Relative absolute error                 47.5206 %
Root relative squared error             58.5821 %
Coverage of cases (0.95 level)          98.7847 %
Mean rel. region size (0.95 level)      27.277  %
Total Number of Instances              576     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.889    0.000    1.000      0.889    0.941      0.942    1.000     0.980     0
                 0.375    0.002    0.750      0.375    0.500      0.526    0.979     0.733     1
                 0.842    0.006    0.914      0.842    0.877      0.869    0.984     0.918     2
                 0.714    0.000    1.000      0.714    0.833      0.844    0.999     0.948     3
                 0.571    0.004    0.667      0.571    0.615      0.613    0.994     0.741     4
                 0.930    0.006    0.930      0.930    0.930      0.925    0.998     0.982     5
                 0.286    0.004    0.500      0.286    0.364      0.372    0.911     0.439     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.750    0.002    0.857      0.750    0.800      0.799    0.998     0.919     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.803     0.118     9
                 0.954    0.075    0.746      0.954    0.837      0.804    0.990     0.966     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.748     0.039     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.213     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.583     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.512     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.691     0.024     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.937    0.023    0.890      0.937    0.913      0.895    0.985     0.970     18
                 0.710    0.013    0.759      0.710    0.733      0.719    0.969     0.733     19
                 0.937    0.025    0.819      0.937    0.874      0.860    0.994     0.968     20
                 0.857    0.005    0.889      0.857    0.873      0.867    0.973     0.884     21
                 0.933    0.000    1.000      0.933    0.966      0.963    0.998     0.983     22
                 0.571    0.007    0.750      0.571    0.649      0.644    0.950     0.702     23
                 0.857    0.013    0.720      0.857    0.783      0.777    0.992     0.715     24
                 0.308    0.004    0.667      0.308    0.421      0.445    0.985     0.595     25
Weighted Avg.    0.837    0.023    0.817      0.837    0.820      0.808    0.983     0.891     
