
 Results 
=====

Correctly Classified Instances         306               83.1522 %
Incorrectly Classified Instances        62               16.8478 %
Kappa statistic                          0.7571
K&B Relative Info Score              23672.107  %
K&B Information Score                  632.5533 bits      1.7189 bits/instance
Class complexity | order 0             952.2911 bits      2.5877 bits/instance
Class complexity | scheme             5677.317  bits     15.4275 bits/instance
Complexity improvement     (Sf)      -4725.0259 bits    -12.8397 bits/instance
Mean absolute error                      0.0481
Root mean squared error                  0.1402
Relative absolute error                 49.449  %
Root relative squared error             63.9824 %
Coverage of cases (0.95 level)          97.5543 %
Mean rel. region size (0.95 level)      24.8007 %
Total Number of Instances              368     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.500    0.000    1.000      0.500    0.667      0.705    0.999     0.888     197
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     198
                 0.000    0.000    0.000      0.000    0.000      0.000    0.432     0.005     199
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     200
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.400     201
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     202
                 0.939    0.166    0.846      0.939    0.890      0.777    0.963     0.970     203
                 0.576    0.015    0.792      0.576    0.667      0.649    0.949     0.784     204
                 0.741    0.006    0.909      0.741    0.816      0.808    0.991     0.907     205
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     206
                 0.143    0.003    0.500      0.143    0.222      0.260    0.895     0.530     207
                 0.500    0.000    1.000      0.500    0.667      0.704    0.889     0.762     208
                 0.778    0.000    1.000      0.778    0.875      0.871    0.962     0.915     209
                 0.875    0.070    0.603      0.875    0.714      0.688    0.958     0.660     210
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     211
Weighted Avg.    0.832    0.091    0.835      0.832    0.821      0.762    0.961     0.891     
