
 Results 
=====

Correctly Classified Instances        1150               81.043  %
Incorrectly Classified Instances       269               18.957  %
Kappa statistic                          0.8053
K&B Relative Info Score             103194.2883 %
K&B Information Score                 6113.6256 bits      4.3084 bits/instance
Class complexity | order 0            8297.1524 bits      5.8472 bits/instance
Class complexity | scheme            40593.6717 bits     28.6072 bits/instance
Complexity improvement     (Sf)     -32296.5193 bits    -22.7601 bits/instance
Mean absolute error                      0.0104
Root mean squared error                  0.0632
Relative absolute error                 53.2891 %
Root relative squared error             63.9478 %
Coverage of cases (0.95 level)          96.8992 %
Mean rel. region size (0.95 level)      14.6899 %
Total Number of Instances             1419     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.933    0.005    0.889      0.933    0.911      0.907    0.983     0.943     1
                 0.986    0.003    0.947      0.986    0.966      0.964    0.999     0.990     2
                 0.930    0.012    0.768      0.930    0.841      0.838    0.991     0.927     3
                 0.667    0.004    0.737      0.667    0.700      0.697    0.903     0.741     4
                 0.963    0.000    1.000      0.963    0.981      0.981    0.999     0.991     5
                 0.903    0.001    0.966      0.903    0.933      0.932    0.998     0.967     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.680    0.010    0.708      0.680    0.694      0.683    0.955     0.738     8
                 0.846    0.006    0.710      0.846    0.772      0.770    0.993     0.826     9
                 0.889    0.001    0.923      0.889    0.906      0.904    0.968     0.910     10
                 0.700    0.002    0.824      0.700    0.757      0.756    0.964     0.728     11
                 0.932    0.006    0.837      0.932    0.882      0.879    0.998     0.961     12
                 0.545    0.003    0.600      0.545    0.571      0.569    0.817     0.597     13
                 0.636    0.001    0.778      0.636    0.700      0.701    0.946     0.737     14
                 0.806    0.004    0.853      0.806    0.829      0.825    0.983     0.891     15
                 0.933    0.000    1.000      0.933    0.966      0.966    1.000     1.000     16
                 0.750    0.000    1.000      0.750    0.857      0.865    0.930     0.842     17
                 0.867    0.042    0.402      0.867    0.549      0.572    0.978     0.700     18
                 0.714    0.001    0.714      0.714    0.714      0.713    0.999     0.904     19
                 0.857    0.001    0.750      0.857    0.800      0.801    0.999     0.916     20
                 0.143    0.001    0.500      0.143    0.222      0.265    0.888     0.261     21
                 0.563    0.002    0.750      0.563    0.643      0.646    0.936     0.683     22
                 0.887    0.003    0.922      0.887    0.904      0.900    0.981     0.924     23
                 0.893    0.001    0.962      0.893    0.926      0.925    0.993     0.956     24
                 1.000    0.001    0.882      1.000    0.938      0.939    1.000     0.983     25
                 0.857    0.001    0.857      0.857    0.857      0.856    0.922     0.770     26
                 0.902    0.012    0.822      0.902    0.860      0.853    0.987     0.945     27
                 0.722    0.000    1.000      0.722    0.839      0.848    0.997     0.947     28
                 0.333    0.002    0.400      0.333    0.364      0.363    0.996     0.432     29
                 0.900    0.001    0.900      0.900    0.900      0.899    0.996     0.885     30
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     31
                 0.882    0.005    0.811      0.882    0.845      0.842    0.997     0.809     32
                 0.200    0.002    0.250      0.200    0.222      0.221    0.993     0.284     33
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     34
                 0.400    0.001    0.667      0.400    0.500      0.515    0.889     0.593     35
                 0.800    0.001    0.800      0.800    0.800      0.799    1.000     0.943     36
                 0.400    0.000    1.000      0.400    0.571      0.632    0.983     0.384     37
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     38
                 0.600    0.002    0.500      0.600    0.545      0.546    0.997     0.523     39
                 0.800    0.000    1.000      0.800    0.889      0.894    1.000     1.000     40
                 0.400    0.002    0.400      0.400    0.400      0.398    0.993     0.379     41
                 0.250    0.002    0.250      0.250    0.250      0.248    0.987     0.376     42
                 0.758    0.003    0.862      0.758    0.806      0.804    0.989     0.732     43
                 0.750    0.000    1.000      0.750    0.857      0.866    0.866     0.751     44
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     45
                 0.667    0.003    0.667      0.667    0.667      0.664    0.942     0.640     46
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     47
                 0.700    0.006    0.724      0.700    0.712      0.706    0.987     0.870     48
                 0.920    0.004    0.821      0.920    0.868      0.867    0.975     0.951     49
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     50
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     51
                 0.667    0.001    0.500      0.667    0.571      0.576    0.996     0.442     52
                 0.667    0.001    0.667      0.667    0.667      0.666    0.998     0.758     53
                 0.333    0.000    1.000      0.333    0.500      0.577    0.986     0.399     54
                 0.667    0.000    1.000      0.667    0.800      0.816    0.997     0.729     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.824     0.667     56
                 0.688    0.004    0.786      0.688    0.733      0.729    0.972     0.850     57
