
 Results 
=====

Correctly Classified Instances        1056               83.4783 %
Incorrectly Classified Instances       209               16.5217 %
Kappa statistic                          0.8211
K&B Relative Info Score              91312.3314 %
K&B Information Score                 4553.6744 bits      3.5997 bits/instance
Class complexity | order 0            6179.9305 bits      4.8853 bits/instance
Class complexity | scheme            30452.8991 bits     24.0734 bits/instance
Complexity improvement     (Sf)     -24272.9686 bits    -19.1881 bits/instance
Mean absolute error                      0.0129
Root mean squared error                  0.0687
Relative absolute error                 48.8563 %
Root relative squared error             59.8247 %
Coverage of cases (0.95 level)          97.4704 %
Mean rel. region size (0.95 level)      15.5264 %
Total Number of Instances             1265     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.938    0.040    0.657      0.938    0.773      0.765    0.975     0.931     1
                 0.824    0.003    0.913      0.824    0.866      0.862    0.987     0.929     2
                 0.918    0.006    0.905      0.918    0.912      0.906    0.997     0.961     3
                 0.857    0.000    1.000      0.857    0.923      0.925    1.000     1.000     4
                 0.892    0.008    0.853      0.892    0.872      0.865    0.964     0.931     5
                 0.909    0.002    0.870      0.909    0.889      0.887    0.972     0.951     6
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     7
                 0.739    0.001    0.944      0.739    0.829      0.833    0.986     0.871     8
                 0.875    0.000    1.000      0.875    0.933      0.935    1.000     0.958     9
                 0.913    0.000    1.000      0.913    0.955      0.955    0.994     0.920     10
                 0.966    0.003    0.974      0.966    0.970      0.967    0.999     0.996     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.429    0.002    0.500      0.429    0.462      0.460    0.896     0.416     13
                 0.750    0.001    0.938      0.750    0.833      0.836    0.997     0.919     14
                 0.857    0.001    0.857      0.857    0.857      0.856    0.918     0.858     15
                 0.833    0.000    1.000      0.833    0.909      0.913    1.000     0.976     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.983    0.079    0.735      0.983    0.841      0.812    0.996     0.988     18
                 0.732    0.003    0.882      0.732    0.800      0.798    0.953     0.833     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.167    0.002    0.333      0.167    0.222      0.233    0.888     0.308     21
                 0.750    0.000    1.000      0.750    0.857      0.864    0.951     0.851     22
                 0.696    0.001    0.941      0.696    0.800      0.806    0.964     0.866     23
                 0.667    0.001    0.800      0.667    0.727      0.729    0.905     0.787     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     0.976     25
                 0.519    0.005    0.700      0.519    0.596      0.595    0.954     0.656     26
                 0.600    0.000    1.000      0.600    0.750      0.774    1.000     0.925     27
                 0.800    0.001    0.800      0.800    0.800      0.799    1.000     1.000     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
