@relation 'Dataset dblp publish-venue_title mmiller'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}
@data
'sigucc special interest group univers comput servic bring electron mail mass phase eudora',10
'sigucc special interest group univers comput servic world wide web develop notr dame s easier ask forgiv permiss',10
'sigucc special interest group univers comput servic manag mac made painless leverag right tool job',10
'ieee visual terascal visual approach pitfal issu panel',11
'scientif visual multiresolut adapt render techniqu structur curvilinear data',11
'comput network educ metadata us',12
'comput network cool link ride wave',12
'bulletin ica integr sum number cocktail parti graph symmetr complet bipartit graph',1
'discussion mathematica graph theori survei certain valuat graph',1
'proceed cocoon comput combinator sydnei lectur note comput scienc d z du p ead estivil castro lin ed monoton minimum diamet respect order maximum degre',1
'journal graph theori complet characteris almost moor digraph degre three',1
'australasian journal combinator antimag valuat gener petersen graph',1
'proceed ninth intern confer scientif statist databas manag usabl compromis free statist databas',1
'j graph theori digraph degre close moor bound',1
'jcmcc two conjectur concern d antimag label antipr',1
'proceed awoca hunter vallei usabl k commpromis free statist databas',1
'ar combinatoria result almost moor digraph',1
'itb bandung jurnal mihmi open problem graph theori label extrem graph plenari address combinator prosid komperensi nasion matematika',1
'proceed awoca perth spectrum prematur partial latin squar',1
'discret mathemat sum number wheel',1
'proceed fourteenth australasian combinatori algorithm seoul korea open problem exclus sum graph label',1
'hic confer adelaid utilis secret share access medic databas',1
'proceed awoca open problem mod sum graph',1
'bulletin ica applic symmetr chain optim problem secur statist databas',1
'seventh australasian databas confer proceed australian comput scienc commun toward practic audit method prevent statist databas compromis',1
'proceed awoca hunter vallei us graph label store linkag relat databas',1
'intern confer softwar engin research practic serp la vega comparison industri site project univers site project final year student',1
'australasian journal combinator edg magic total label',1
'softwar engin research practic comparison industri site project univers site project final year student',1
'ssdbm statist scientif databas manag usabl compromis free statist databas',1
'discret mathemat characteris strongli chordal graph',1
'utilita math vertex magic total label graph',1
'kolloquium uber kombinatorik braunschweig komplexitat von eisenbahnrangierproblemen',1
'utilita math vertex magic total label wheel relat graph',1
'proceed awoca hunter vallei algorithm combinatori problem relat train marshal',1
'j combinatori theori note larg graph diamet two given maximum degre',1
'proceed fourteenth australasian combinatori algorithm seoul korea nan',1
