
 Results 
=====

Correctly Classified Instances         360               62.5    %
Incorrectly Classified Instances       216               37.5    %
Kappa statistic                          0.5761
K&B Relative Info Score              32236.397  %
K&B Information Score                 1250.3814 bits      2.1708 bits/instance
Class complexity | order 0            2194.0746 bits      3.8092 bits/instance
Class complexity | scheme           121848.858  bits    211.5432 bits/instance
Complexity improvement     (Sf)    -119654.7835 bits   -207.734  bits/instance
Mean absolute error                      0.0324
Root mean squared error                  0.1528
Relative absolute error                 46.6914 %
Root relative squared error             82.1039 %
Coverage of cases (0.95 level)          77.4306 %
Mean rel. region size (0.95 level)      11.9257 %
Total Number of Instances              576     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.016    0.000      0.000    0.000      -0.016   0.695     0.071     0
                 0.375    0.000    1.000      0.375    0.545      0.610    0.746     0.432     1
                 0.579    0.048    0.458      0.579    0.512      0.477    0.812     0.529     2
                 0.429    0.002    0.750      0.429    0.545      0.563    0.775     0.351     3
                 0.571    0.002    0.800      0.571    0.667      0.673    0.769     0.462     4
                 0.674    0.017    0.763      0.674    0.716      0.696    0.872     0.694     5
                 0.429    0.009    0.375      0.429    0.400      0.393    0.842     0.293     6
                 0.500    0.002    0.667      0.500    0.571      0.575    0.867     0.689     7
                 0.750    0.005    0.667      0.750    0.706      0.703    0.850     0.566     8
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.421     0.005     9
                 0.852    0.162    0.548      0.852    0.667      0.592    0.858     0.518     10
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.481     0.005     11
                 1.000    0.003    0.600      1.000    0.750      0.773    0.999     0.867     12
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.656     0.115     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.733     0.030     15
                 0.500    0.000    1.000      0.500    0.667      0.706    0.750     0.502     16
                 0.000    0.002    0.000      0.000    0.000      -0.002   0.496     0.003     17
                 0.758    0.050    0.750      0.758    0.754      0.705    0.889     0.676     18
                 0.323    0.018    0.500      0.323    0.392      0.375    0.798     0.345     19
                 0.714    0.019    0.818      0.714    0.763      0.738    0.930     0.717     20
                 0.536    0.011    0.714      0.536    0.612      0.602    0.886     0.504     21
                 0.778    0.011    0.854      0.778    0.814      0.800    0.929     0.806     22
                 0.429    0.014    0.529      0.429    0.474      0.459    0.703     0.231     23
                 0.238    0.018    0.333      0.238    0.278      0.259    0.756     0.196     24
                 0.077    0.005    0.250      0.077    0.118      0.128    0.623     0.089     25
Weighted Avg.    0.625    0.050    0.626      0.625    0.612      0.581    0.844     0.538     
