
 Results 
=====

Correctly Classified Instances         884               60.3825 %
Incorrectly Classified Instances       580               39.6175 %
Kappa statistic                          0.583 
K&B Relative Info Score              84153.9286 %
K&B Information Score                 4628.5972 bits      3.1616 bits/instance
Class complexity | order 0            7924.5444 bits      5.4129 bits/instance
Class complexity | scheme           398444.3148 bits    272.1614 bits/instance
Complexity improvement     (Sf)    -390519.7704 bits   -266.7485 bits/instance
Mean absolute error                      0.0104
Root mean squared error                  0.0871
Relative absolute error                 46.4482 %
Root relative squared error             82.4143 %
Coverage of cases (0.95 level)          71.5847 %
Mean rel. region size (0.95 level)       4.2342 %
Total Number of Instances             1464     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.898    0.098    0.588      0.898    0.711      0.676    0.910     0.584     1
                 0.903    0.011    0.802      0.903    0.850      0.843    0.948     0.699     2
                 0.646    0.034    0.467      0.646    0.542      0.525    0.873     0.383     3
                 0.455    0.008    0.625      0.455    0.526      0.521    0.834     0.448     4
                 0.209    0.018    0.257      0.209    0.231      0.211    0.729     0.169     5
                 0.875    0.008    0.761      0.875    0.814      0.810    0.944     0.782     6
                 0.742    0.027    0.548      0.742    0.630      0.619    0.886     0.573     7
                 0.673    0.008    0.761      0.673    0.714      0.706    0.903     0.678     8
                 0.690    0.006    0.690      0.690    0.690      0.683    0.885     0.592     9
                 0.571    0.007    0.545      0.571    0.558      0.552    0.818     0.349     10
                 0.476    0.003    0.667      0.476    0.556      0.558    0.823     0.408     11
                 0.353    0.010    0.462      0.353    0.400      0.391    0.711     0.355     12
                 0.596    0.008    0.700      0.596    0.644      0.635    0.853     0.566     13
                 0.438    0.006    0.467      0.438    0.452      0.446    0.724     0.266     14
                 0.500    0.008    0.400      0.500    0.444      0.440    0.743     0.309     15
                 0.389    0.008    0.389      0.389    0.389      0.381    0.831     0.216     16
                 0.333    0.020    0.300      0.333    0.316      0.298    0.744     0.287     17
                 0.545    0.000    1.000      0.545    0.706      0.737    0.848     0.661     18
                 0.692    0.004    0.750      0.692    0.720      0.716    0.917     0.675     19
