
 Results 
=====

Correctly Classified Instances         738               58.3399 %
Incorrectly Classified Instances       527               41.6601 %
Kappa statistic                          0.5456
K&B Relative Info Score              67220.141  %
K&B Information Score                 3352.2158 bits      2.65   bits/instance
Class complexity | order 0            6179.9305 bits      4.8853 bits/instance
Class complexity | scheme           313778.5722 bits    248.0463 bits/instance
Complexity improvement     (Sf)    -307598.6417 bits   -243.161  bits/instance
Mean absolute error                      0.0132
Root mean squared error                  0.0966
Relative absolute error                 49.7746 %
Root relative squared error             84.1586 %
Coverage of cases (0.95 level)          74.2292 %
Mean rel. region size (0.95 level)       7.3529 %
Total Number of Instances             1265     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.813    0.033    0.667      0.813    0.732      0.712    0.910     0.663     1
                 0.804    0.022    0.603      0.804    0.689      0.682    0.908     0.658     2
                 0.699    0.014    0.750      0.699    0.723      0.708    0.910     0.766     3
                 0.286    0.005    0.400      0.286    0.333      0.332    0.741     0.209     4
                 0.569    0.018    0.627      0.569    0.597      0.577    0.847     0.501     5
                 0.318    0.005    0.538      0.318    0.400      0.406    0.786     0.414     6
                 0.222    0.002    0.400      0.222    0.286      0.294    0.875     0.286     7
                 0.087    0.006    0.200      0.087    0.121      0.121    0.744     0.072     8
                 0.125    0.005    0.143      0.125    0.133      0.128    0.577     0.048     9
                 0.478    0.007    0.550      0.478    0.512      0.504    0.837     0.522     10
                 0.786    0.035    0.697      0.786    0.739      0.712    0.913     0.686     11
                 0.714    0.003    0.556      0.714    0.625      0.628    0.849     0.716     12
                 0.429    0.004    0.375      0.429    0.400      0.397    0.770     0.333     13
                 0.500    0.002    0.769      0.500    0.606      0.615    0.795     0.474     14
                 0.286    0.006    0.200      0.286    0.235      0.234    0.596     0.290     15
                 0.333    0.002    0.500      0.333    0.400      0.406    0.748     0.269     16
                 0.500    0.001    0.750      0.500    0.600      0.611    0.749     0.502     17
                 0.823    0.161    0.534      0.823    0.647      0.569    0.844     0.500     18
                 0.537    0.014    0.564      0.537    0.550      0.535    0.853     0.542     19
                 0.667    0.000    1.000      0.667    0.800      0.816    0.833     0.668     20
                 0.167    0.006    0.125      0.167    0.143      0.140    0.781     0.069     21
                 0.350    0.005    0.538      0.350    0.424      0.427    0.747     0.407     22
                 0.217    0.010    0.278      0.217    0.244      0.233    0.681     0.160     23
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.656     0.142     24
                 0.500    0.004    0.375      0.500    0.429      0.430    0.914     0.363     25
                 0.296    0.004    0.615      0.296    0.400      0.419    0.841     0.220     26
                 0.800    0.002    0.571      0.800    0.667      0.675    0.895     0.565     27
                 0.600    0.002    0.500      0.600    0.545      0.546    0.892     0.332     28
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.662     0.072     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.465     0.004     30
                 0.778    0.004    0.583      0.778    0.667      0.671    0.998     0.815     31
                 0.565    0.010    0.520      0.565    0.542      0.533    0.835     0.347     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.664     0.132     33
                 0.040    0.008    0.091      0.040    0.056      0.048    0.638     0.042     34
                 0.600    0.001    0.750      0.600    0.667      0.670    0.800     0.602     35
                 0.000    0.006    0.000      0.000    0.000      -0.008   0.572     0.015     36
                 0.000    0.002    0.000      0.000    0.000      -0.002   0.749     0.252     37
                 1.000    0.001    0.800      1.000    0.889      0.894    0.999     0.725     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.677     0.040     39
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.721     0.048     40
                 0.500    0.001    0.667      0.500    0.571      0.576    0.747     0.502     41
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.745     0.092     42
                 0.875    0.000    1.000      0.875    0.933      0.935    0.937     0.876     43
