
 Results 
=====

Correctly Classified Instances         311               84.5109 %
Incorrectly Classified Instances        57               15.4891 %
Kappa statistic                          0.7854
K&B Relative Info Score              28308.2146 %
K&B Information Score                  756.4369 bits      2.0555 bits/instance
Class complexity | order 0             952.2911 bits      2.5877 bits/instance
Class complexity | scheme              795.115  bits      2.1606 bits/instance
Complexity improvement     (Sf)        157.1761 bits      0.4271 bits/instance
Mean absolute error                      0.0206
Root mean squared error                  0.1287
Relative absolute error                 21.1444 %
Root relative squared error             58.7293 %
Coverage of cases (0.95 level)          91.5761 %
Mean rel. region size (0.95 level)       8.0978 %
Total Number of Instances              368     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.750    0.003    0.750      0.750    0.750      0.747    0.791     0.753     197
                 0.667    0.000    1.000      0.667    0.800      0.815    0.973     0.697     198
                 0.000    0.000    0.000      0.000    0.000      0.000    0.292     0.006     199
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.505     200
                 0.000    0.000    0.000      0.000    0.000      0.000    0.796     0.090     201
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     202
                 0.873    0.102    0.893      0.873    0.883      0.772    0.963     0.965     203
                 0.667    0.042    0.611      0.667    0.638      0.601    0.937     0.735     204
                 0.963    0.021    0.788      0.963    0.867      0.860    0.998     0.976     205
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     206
                 0.571    0.006    0.667      0.571    0.615      0.610    0.983     0.748     207
                 0.500    0.003    0.750      0.500    0.600      0.607    0.981     0.714     208
                 0.972    0.012    0.897      0.972    0.933      0.927    0.999     0.989     209
                 0.850    0.027    0.791      0.850    0.819      0.797    0.992     0.948     210
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     211
Weighted Avg.    0.845    0.060    0.835      0.845    0.838      0.776    0.966     0.923     
