
 Results 
=====

Correctly Classified Instances        1081               73.8388 %
Incorrectly Classified Instances       383               26.1612 %
Kappa statistic                          0.7252
K&B Relative Info Score              94650.6818 %
K&B Information Score                 5205.935  bits      3.556  bits/instance
Class complexity | order 0            7924.5444 bits      5.4129 bits/instance
Class complexity | scheme            30443.9609 bits     20.7951 bits/instance
Complexity improvement     (Sf)     -22519.4164 bits    -15.3821 bits/instance
Mean absolute error                      0.0134
Root mean squared error                  0.0738
Relative absolute error                 59.9745 %
Root relative squared error             69.8815 %
Coverage of cases (0.95 level)          97.3361 %
Mean rel. region size (0.95 level)      19.8357 %
Total Number of Instances             1464     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.995    0.058    0.726      0.995    0.839      0.824    0.996     0.971     1
                 0.917    0.014    0.767      0.917    0.835      0.830    0.997     0.935     2
                 0.769    0.023    0.610      0.769    0.680      0.669    0.980     0.814     3
                 0.773    0.010    0.708      0.773    0.739      0.731    0.963     0.839     4
                 0.419    0.006    0.692      0.419    0.522      0.528    0.975     0.735     5
                 0.850    0.008    0.739      0.850    0.791      0.786    0.959     0.854     6
                 0.952    0.019    0.686      0.952    0.797      0.799    0.991     0.926     7
                 0.788    0.008    0.788      0.788    0.788      0.781    0.992     0.919     8
                 0.828    0.004    0.800      0.828    0.814      0.810    0.995     0.893     9
                 0.524    0.006    0.550      0.524    0.537      0.530    0.958     0.444     10
                 0.714    0.012    0.455      0.714    0.556      0.562    0.992     0.702     11
                 0.471    0.006    0.667      0.471    0.552      0.552    0.935     0.551     12
                 0.617    0.001    0.935      0.617    0.744      0.754    0.978     0.846     13
                 0.688    0.000    1.000      0.688    0.815      0.828    0.914     0.725     14
                 0.625    0.001    0.909      0.625    0.741      0.752    0.956     0.806     15
                 0.667    0.003    0.706      0.667    0.686      0.682    0.981     0.791     16
                 0.500    0.010    0.563      0.500    0.529      0.519    0.967     0.560     17
                 0.909    0.003    0.714      0.909    0.800      0.804    0.941     0.860     18
                 0.923    0.003    0.857      0.923    0.889      0.887    0.999     0.972     19
                 1.000    0.010    0.774      1.000    0.873      0.876    0.999     0.971     20
                 0.714    0.002    0.625      0.714    0.667      0.666    1.000     0.957     21
