
 Results 
=====

Correctly Classified Instances         602               75.4386 %
Incorrectly Classified Instances       196               24.5614 %
Kappa statistic                          0.7397
K&B Relative Info Score              54044.8932 %
K&B Information Score                 2758.29   bits      3.4565 bits/instance
Class complexity | order 0            3996.5734 bits      5.0082 bits/instance
Class complexity | scheme             1826.7986 bits      2.2892 bits/instance
Complexity improvement     (Sf)       2169.7748 bits      2.719  bits/instance
Mean absolute error                      0.0157
Root mean squared error                  0.0822
Relative absolute error                 49.4744 %
Root relative squared error             65.3563 %
Coverage of cases (0.95 level)          95.8647 %
Mean rel. region size (0.95 level)      19.4048 %
Total Number of Instances              798     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.333    0.000    1.000      0.333    0.500      0.577    0.988     0.534     128
                 0.000    0.000    0.000      0.000    0.000      0.000    0.777     0.028     129
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     130
                 0.833    0.001    0.833      0.833    0.833      0.832    0.998     0.882     131
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     132
                 0.704    0.000    1.000      0.704    0.826      0.835    0.970     0.852     133
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     134
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.741     0.016     135
                 0.000    0.000    0.000      0.000    0.000      0.000    0.834     0.352     136
                 0.786    0.005    0.733      0.786    0.759      0.755    0.933     0.731     137
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.777     0.176     138
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.174     139
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.984     0.105     140
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.715     0.038     141
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.325     142
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.174     143
                 0.000    0.000    0.000      0.000    0.000      0.000    0.583     0.005     144
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.119     145
                 0.722    0.006    0.722      0.722    0.722      0.716    0.954     0.709     146
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     147
                 0.857    0.003    0.857      0.857    0.857      0.855    0.963     0.835     148
                 0.000    0.001    0.000      0.000    0.000      -0.002   0.981     0.119     149
                 1.000    0.001    0.667      1.000    0.800      0.816    1.000     1.000     150
                 0.917    0.006    0.815      0.917    0.863      0.860    0.999     0.955     151
                 0.909    0.004    0.769      0.909    0.833      0.834    0.991     0.829     152
                 0.900    0.005    0.692      0.900    0.783      0.786    0.998     0.823     153
                 0.778    0.004    0.700      0.778    0.737      0.735    0.997     0.840     154
                 0.667    0.004    0.667      0.667    0.667      0.663    0.994     0.751     94
                 0.733    0.012    0.786      0.733    0.759      0.745    0.984     0.854     95
                 0.846    0.020    0.746      0.846    0.793      0.779    0.983     0.908     96
                 0.955    0.005    0.840      0.955    0.894      0.892    0.999     0.961     97
                 0.818    0.017    0.776      0.818    0.796      0.781    0.975     0.885     98
                 0.500    0.000    1.000      0.500    0.667      0.705    0.969     0.682     99
                 0.250    0.001    0.667      0.250    0.364      0.405    0.945     0.308     100
                 0.250    0.006    0.286      0.250    0.267      0.260    0.924     0.185     101
                 0.286    0.008    0.250      0.286    0.267      0.260    0.827     0.125     102
                 0.875    0.012    0.609      0.875    0.718      0.723    0.993     0.663     103
                 0.958    0.014    0.873      0.958    0.914      0.906    0.998     0.978     104
                 0.429    0.004    0.500      0.429    0.462      0.459    0.892     0.329     105
                 0.778    0.009    0.833      0.778    0.805      0.794    0.958     0.849     106
                 0.500    0.004    0.500      0.500    0.500      0.496    0.969     0.419     107
                 0.882    0.005    0.789      0.882    0.833      0.831    0.988     0.896     108
                 0.769    0.005    0.714      0.769    0.741      0.737    0.974     0.843     109
                 0.800    0.003    0.667      0.800    0.727      0.728    0.985     0.815     110
                 0.400    0.000    1.000      0.400    0.571      0.631    0.844     0.347     111
                 0.000    0.004    0.000      0.000    0.000      -0.005   0.822     0.096     112
                 0.600    0.000    1.000      0.600    0.750      0.774    0.994     0.753     113
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.863     0.133     114
                 0.843    0.059    0.689      0.843    0.758      0.721    0.949     0.867     115
                 0.944    0.000    1.000      0.944    0.971      0.971    1.000     0.990     116
                 0.600    0.003    0.600      0.600    0.600      0.597    0.999     0.903     117
                 0.781    0.009    0.781      0.781    0.781      0.772    0.989     0.879     118
                 0.750    0.004    0.500      0.750    0.600      0.610    0.996     0.750     119
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     120
                 0.750    0.000    1.000      0.750    0.857      0.865    0.999     0.917     121
                 0.750    0.001    0.750      0.750    0.750      0.749    0.992     0.783     122
                 0.000    0.001    0.000      0.000    0.000      -0.003   0.994     0.405     123
                 0.667    0.000    1.000      0.667    0.800      0.816    1.000     1.000     125
                 0.588    0.005    0.714      0.588    0.645      0.641    0.960     0.681     126
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     127
Weighted Avg.    0.754    0.015    0.735      0.754    0.737      0.729    0.968     0.802     
