
 Results 
=====

Correctly Classified Instances        1003               79.2885 %
Incorrectly Classified Instances       262               20.7115 %
Kappa statistic                          0.7758
K&B Relative Info Score              88815.2999 %
K&B Information Score                 4429.1494 bits      3.5013 bits/instance
Class complexity | order 0            6179.9305 bits      4.8853 bits/instance
Class complexity | scheme             2411.9749 bits      1.9067 bits/instance
Complexity improvement     (Sf)       3767.9556 bits      2.9786 bits/instance
Mean absolute error                      0.0123
Root mean squared error                  0.071 
Relative absolute error                 46.3416 %
Root relative squared error             61.8461 %
Coverage of cases (0.95 level)          96.996  %
Mean rel. region size (0.95 level)      15.9628 %
Total Number of Instances             1265     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.906    0.021    0.784      0.906    0.841      0.829    0.984     0.936     1
                 0.902    0.016    0.697      0.902    0.786      0.783    0.994     0.924     2
                 0.904    0.008    0.868      0.904    0.886      0.879    0.996     0.953     3
                 0.929    0.002    0.867      0.929    0.897      0.896    0.997     0.819     4
                 0.785    0.006    0.879      0.785    0.829      0.822    0.961     0.861     5
                 0.864    0.005    0.760      0.864    0.809      0.807    0.993     0.918     6
                 0.556    0.004    0.500      0.556    0.526      0.523    0.997     0.810     7
                 0.478    0.005    0.647      0.478    0.550      0.549    0.962     0.563     8
                 0.250    0.001    0.667      0.250    0.364      0.406    0.853     0.273     9
                 0.870    0.002    0.870      0.870    0.870      0.867    0.977     0.911     10
                 0.932    0.011    0.893      0.932    0.912      0.903    0.994     0.963     11
                 0.714    0.000    1.000      0.714    0.833      0.844    0.999     0.857     12
                 0.429    0.002    0.500      0.429    0.462      0.460    0.943     0.312     13
                 0.700    0.001    0.933      0.700    0.800      0.806    0.987     0.789     14
                 0.571    0.002    0.667      0.571    0.615      0.615    0.944     0.503     15
                 0.833    0.001    0.833      0.833    0.833      0.833    1.000     0.958     16
                 0.500    0.000    1.000      0.500    0.667      0.706    0.991     0.652     17
                 0.935    0.087    0.706      0.935    0.804      0.765    0.967     0.898     18
                 0.829    0.009    0.756      0.829    0.791      0.784    0.980     0.873     19
                 0.667    0.002    0.667      0.667    0.667      0.665    0.914     0.646     20
                 0.167    0.001    0.500      0.167    0.250      0.287    0.919     0.260     21
                 0.750    0.003    0.789      0.750    0.769      0.766    0.960     0.800     22
                 0.870    0.002    0.870      0.870    0.870      0.867    0.997     0.908     23
                 0.833    0.000    1.000      0.833    0.909      0.913    0.995     0.856     24
                 0.833    0.002    0.625      0.833    0.714      0.720    0.999     0.799     25
                 0.741    0.005    0.769      0.741    0.755      0.750    0.978     0.845     26
                 0.800    0.000    1.000      0.800    0.889      0.894    0.999     0.900     27
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.989     0.340     28
                 0.400    0.000    1.000      0.400    0.571      0.632    0.937     0.683     29
                 0.200    0.000    1.000      0.200    0.333      0.447    0.963     0.374     30
                 1.000    0.003    0.692      1.000    0.818      0.831    1.000     0.989     31
                 0.783    0.006    0.692      0.783    0.735      0.731    0.995     0.854     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.937     0.353     33
                 0.400    0.002    0.769      0.400    0.526      0.549    0.960     0.515     34
                 0.400    0.001    0.667      0.400    0.500      0.515    0.990     0.815     35
                 0.375    0.001    0.857      0.375    0.522      0.564    0.917     0.388     36
                 0.500    0.000    1.000      0.500    0.667      0.707    0.998     0.827     37
                 1.000    0.001    0.800      1.000    0.889      0.894    1.000     1.000     38
                 0.500    0.000    1.000      0.500    0.667      0.707    0.995     0.646     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.568     40
                 0.750    0.001    0.750      0.750    0.750      0.749    0.962     0.755     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.224     42
                 0.875    0.000    1.000      0.875    0.933      0.935    1.000     0.986     43
                 0.854    0.002    0.921      0.854    0.886      0.883    0.993     0.921     44
                 0.733    0.000    1.000      0.733    0.846      0.855    0.977     0.839     45
                 0.667    0.000    1.000      0.667    0.800      0.816    0.998     0.767     46
                 0.667    0.000    1.000      0.667    0.800      0.816    0.993     0.701     47
                 1.000    0.001    0.750      1.000    0.857      0.866    1.000     1.000     48
                 0.333    0.001    0.500      0.333    0.400      0.407    0.998     0.667     49
                 0.333    0.002    0.333      0.333    0.333      0.332    0.999     0.700     50
                 0.737    0.002    0.824      0.737    0.778      0.776    0.988     0.784     51
                 0.333    0.000    1.000      0.333    0.500      0.577    0.995     0.710     52
                 0.000    0.002    0.000      0.000    0.000      -0.002   0.983     0.096     53
                 0.667    0.000    1.000      0.667    0.800      0.816    0.980     0.679     54
                 0.667    0.000    1.000      0.667    0.800      0.816    0.999     0.867     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.671     0.018     56
                 0.889    0.000    1.000      0.889    0.941      0.942    0.999     0.934     57
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.997     0.306     58
                 0.333    0.001    0.500      0.333    0.400      0.407    0.967     0.360     59
                 0.333    0.000    1.000      0.333    0.500      0.577    0.997     0.556     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.163     61
                 1.000    0.001    0.667      1.000    0.800      0.816    1.000     1.000     62
                 0.925    0.001    0.984      0.925    0.954      0.952    0.997     0.971     63
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     64
                 0.000    0.001    0.000      0.000    0.000      -0.001   0.998     0.417     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.623     0.008     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.114     0.001     67
                 0.000    0.000    0.000      0.000    0.000      0.000    0.946     0.032     68
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.113     69
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.417     70
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.196     71
Weighted Avg.    0.793    0.021    0.781      0.793    0.774      0.767    0.977     0.840     
