@relation 'Dataset dblp publish-venue_title_co-authors cchen'
@attribute Text string
@attribute class-att {128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 125, 126, 127}
@data
'ieee softwar formal approach scenario analysi d kung j samuel j gao p hsia y toyoshima',94
'ieee comput engin internet global softwar product d leung j gao y toyoshima',94
'journal system softwar regress test object orient program d kung j gao p hsia y toyoshima',94
'commun acm develop object orient softwar test mainten environ d kung j gao p hsia y toyoshima y song y kim',94
'hase object orient softwar test research develop d kung j gao p hsia y toyoshima',94
'icsm intern softwar mainten chang impact identif object orient softwar mainten d kung f wen j gao p hsia y toyoshima',94
'compsac intern comput softwar applic test strategi object orient program d kung j gao p hsia y toyoshima',94
'compsac intern comput softwar applic develop integr test environ world wide web technolog d leung j gao y toyoshima',94
'compsac intern comput softwar applic object state test object orient program d kung j gao p hsia y toyoshima',94
'technic report univers l extract now what introduct induct wise interconnect simul engin inductwis t chen h kim',95
'ieee transact comput aid design integr circuit system tcad pp inductwis induct wise interconnect simul extractor t chen c luk',95
'ieee acm intern comput aid design iccad intern comput aid design inductwis induct wise interconnect simul extractor t chen c luk h kim',95
'ieee acm design autom dac design autom optim wire size function fring capacit consider d wong',95
'ieee acm intern comput aid design iccad intern comput aid design suprem substrat power deliveri reluct enhanc macromodel evalu t chen c luk',95
'ieee intern symposium circuit system isca ieee intern symposium circuit system podea power deliveri effici analysi realiz model reduct r jiang t chen',95
'design autom test europ and exhibit date design autom test europ realiz reduct electromagnet coupl rlmc interconnect r jiang',95
'design autom test europ and exhibit date design autom test europ score spice compat reluct extract r jiang',95
'nan be care self mutual induct formula h kim',95
'great lake symposium vlsi veri larg scale integr glsvlsi hierarch model order reduct signal integr driven interconnect synthesi y lee',95
'ieee transact circuit system i tca i pp optim wire size function elmor delai model bound wires y lee d wong',95
'ieee acm intern comput aid design iccad intern comput aid design fdtd adi uncondition stabl full wave maxwel equat solver vlsi model n murugesan t lee s hagness',95
'asian south pacif design autom asp dac design autom optim space capacit pad gener clock structur y lee h lai',95
'design autom test europ and exhibit date design autom test europ power grid transient simul linear time d altern direct implicit method y lee',95
'ieee transact comput aid design integr circuit system tcad pp power grid transient simul linear time d altern direct implicit method y lee',95
'nan effici induct extract chip interconnect c luk',95
'twelfth intern vlsi veri larg scale integr design spec repeat insert wire size chip interconnect n menezes',95
'ieee transact comput aid design integr circuit system tcad zero skew clock tree optim buffer insert size wire size j tsai t chen',95
