@relation 'Dataset dblp publish-venue_title_co-authors jlee'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100}
@data
'vl visual languag visual translat nativ languag sign languag tosiyasu l kunii',100
'icchp intern confer comput handicap person notat represent sign languag structur descript hand configur nan',100
'th annual intern symposium comput architectur isca intern symposium comput architectur memori side correl prefetch us gener purpos core memori yan solihin josep torrellas',10
'proceed multithread execut architectur compil mteac prefetch intellig memori architectur us helper thread yan solihin josep torrellas',10
'extend version ieee transact comput special issu advanc high perform memori system automat code map intellig memori architectur yan solihin josep torrellas',10
'ieee tran parallel distrib syst correl prefetch user level memori thread josep torrellas yan solihin',10
'intellig memori system adapt map code intellig memori architectur josep torrellas yan solihin',10
'ieee tran comput automat code map intellig memori architectur josep torrellas yan solihin',10
'hpca intern symposium high perform comput architectur automat map code intellig memori architectur josep torrellas yan solihin',10
'ispan pensiev project compil infrastructur memori model chi leung wong david a padua samuel p midkiff xing fang zehra sura',10
'tapsoft step stanford tempor prover anca browne arjun kapur edward y chang harish devarajan henny sipma luca de alfaro michael col oacute n nikolaj bj oslash rner tom aacute s e uribe zohar manna',10
'extend version acm transact program languag system basic compil algorithm explicitli parallel program david a padua samuel p midkiff',10
'proceed th acm sigplan special interest group program languag symposium principl practic parallel program ppopp basic compil algorithm parallel program david a padua samuel p midkiff',10
'proceed th intern symposium high perform comput architectur hpca intern symposium high perform comput architectur automat map code intellig memori architectur yan solihin josep torrellas',10
'ph d thesi technic report uiucdc r depart comput scienc univers compil techniqu explicitli parallel program nan',10
'th compil parallel comput cpc compil multipl memori model samuel p midkiff david a padua',10
'proceed th intern languag compil parallel comput lcpc languag compil parallel comput lectur note comput scienc springer twin citi concurr static singl assign form constant propag explicitli parallel program samuel p midkiff david a padua',10
'ppopp principl practic parallel program basic compil algorithm parallel program david a padua samuel p midkiff',10
'intern journal parallel program constant propag algorithm explicitli parallel program samuel p midkiff david a padua',10
'lcpc languag compil parallel comput concurr static singl assign form constant propag explicitli parallel program david a padua samuel p midkiff',10
'extend version ieee transact comput special issu parallel architectur compil techniqu hide relax memori consist compil david a padua',10
'intern journal parallel program constant propag algorithm explicitli parallel program david a padua samuel p midkiff',10
'technic report msu cse present oopsla confer object orient program system languag applic revis java thread specif depart comput scienc engin state univers hide java memori model compil nan',10
'ieee pact parallel comput technolog hide relax memori consist compil david a padua',10
'proceed hpca intern symposium high perform comput architectur interact compil comput architectur san antonio parallel static singl assign form constant propag explicitli parallel program david a padua',10
'ieee tran comput hide relax memori consist compil david a padua',10
'ieee comput parallel program polari david a padua jay hoeflinger john grout lawrence rauchwerger peng tu ramon doallo rudolf eigenmann thomas lawrence william blume william m pottenger yunheung paek',10
'icpp intern confer parallel process restructur program high speed comput polari david a padua jay hoeflinger john grout keith faigin lawrence rauchwerger paul petersen peng tu rudolf eigenmann stephen weatherford thomas lawrence william blume william m pottenger yunheung paek',10
'proceed intellig memori system adapt map code intellig memori architectur yan solihin josep torrellas',10
'prima intern multi agent desiderata agent architectur coordin multi agent system nan',11
'atal agent theori architectur languag reactiv system approach agent architectur nan',11
'barr p cohen feigenbaum weslei cooper distribut problem solv edmund h durfee victor r lesser daniel d corkill',11
's shapiro ed encyclopedia artifici intellig second edit wilei distribut problem solv edmund h durfee victor r lesser daniel d corkill',11
'proceed thirteenth intern distribut artifici intellig page distribut problem solv multi agent system comparison exampl edmund h durfee jeffrey s rosenschein',11
'aaai nation confer artifici intellig overeag reciproc ration mix strategi equilibria edmund h durfee piotr j gmytrasiewicz',11
'prima intern multi agent hierarchi multi agent organ text databas discoveri suk i yoo yong s choi',11
'atal agent theori architectur languag explicit plan languag coordin multiag plan execut edmund h durfee',11
'aaai nation confer artifici intellig structur circuit semant reactiv plan execut system edmund h durfee',11
'agent taip tactic assist interact plan execut edmund h durfee marcus j huber michael kurnow',11
'ieee transact knowledg data engin kde trend cooper distribut problem solv edmund h durfee victor r lesser daniel d corkill',11
'proceed first intern confer multi agent system bliss ignor know just enough coordin well edmund h durfee',11
'proceed tenth nation confer artifici intellig page comput realli need know learn kindergarten edmund h durfee',11
'g hare n ed foundat distribut artifici intellig wilei plan distribut artifici intellig edmund h durfee',11
'ieee transact system man cybernet special issu distribut artifici intellig smc distribut artifici intellig melt pot edmund h durfee',11
'ecml european confer machin learn handl continu valu attribut decis tree neural network model daeeun kim',11
'icann int confer artifici neural network instanc base method extract rule neural network daeeun kim',11
'pakdd pacif asia confer knowledg discoveri data mine rule reduct numer attribut decis tree us multilay perceptron daeeun kim',11
'flair ai research societi confer confer adapt dialog interfac agent us meta rule nan',11
'compsac intern comput softwar applic confer hierarch organ neural net agent distribut web inform retriev suk i yoo yong s choi',11
'ieee tran parallel distrib syst perform analysi pull base parallel video server p c wong',12
'proc th intern confer inform system icei intern confer inform system anger recurs patch effici techniqu multicast video stream y w wong jack y b lee',12
'icc intern confer commun redund arrai inexpens server rai demand multimedia servic p c wong',12
'ieee transact multimedia unifi architectur video demand servic jack y b lee',12
'ieee transact parallel distribut system perform analysi pull base parallel video server jack y b lee p c wong',12
'ieee multimedia parallel video server tutori jack y b lee',12
'ieee transact circuit system video technolog optim channel alloc unifi video demand system jack y b lee',12
'infocom confer comput commun server arrai approach video demand servic local area network p c wong',12
'ieee transact circuit system video technolog support server level fault toler concurr push base parallel video server jack y b lee',12
'evo workshop effect function nois gp effici p c wong',12
'proc ieee intern confer multimedia expo lausann studi server less architectur video demand applic jack y b lee w t leng',12
'resourc manag comput system network eighth ieee symposium parallel distribut process new orlean design server arrai system multimedia world wide web servic y b lee p c wong',12
'ieee transact multimedia stagger push linearli scalabl architectur push base parallel video server jack y b lee',12
'proc ieee infocom confer comput commun server arrai approach video demand servic local area network y b lee p c wong',12
'ieee transact parallel distribut system automat recoveri disk failur continu media server jack y b lee john c s lui',12
'proc ieee isc storag rebuild automat failur recoveri video demand server y b lee p c wong',12
'icpad intern confer parallel distribut system design analysi fault toler mechan server less video demand system raymond w t leung',12
'internet collabor comput higher educ peer peer beyond server less architectur build scalabl reliabl cost effect video demand system w t leung jack y b lee',12
'ieee multimedia parallel video server tutori nan',12
'proc ieee th intern confer applic specif system architectur processor asap hagu effici disk arrai base server design multicast video stream system p h chan jack y b lee',12
'euro par transmiss schedul server less video demand system c y chan',12
'proc high perform larg scale comput hp lsc confer nottingham uk novel redund data updat algorithm fault toler server less video demand system t k ho jack y b lee',12
'ccgrid row permut data reorgan algorithm grow server less video demand system tsz kin ho',12
'ieee transact circuit system video technolog monoton decreas rate schedul variabl bit rate video stream h l lai jack y b lee l k chen',12
'proc intern symposium cluster comput grid row permut data reorgan algorithm server less video demand system t k ho jack y b lee',12
