@relation 'Dataset dblp publish-venue_title_co-authors ktanaka'
@attribute Text string
@attribute class-att {212, 213, 214, 215, 216, 217, 218, 219, 220, 221}
@data
'peer peer comput ubiquit servic orient network uson approach ubiquit world p p technolog e shinohara h matsumura h sunaga m takemoto',212
'lcn ieee local comput network multimedia commun network architectur model high speed network c hong s honda t yoneda y matsushita',212
'system comput access control author cg multipl detail level k yoda k tajima',213
'fodo foundat data organ algorithm behavior analysi object orient databas method structur execut tree reachabl extend abstract m yoshikawa r hull',213
'english tran ipsj schema design view incomplet inform object orient databas m yoshikawa k ishihara',213
'world wide web special issu nd web inform engin confer wise h schek m ozsu y zhang',213
'proc rd int conf foundat data organ algorithm lectur note comput scienc springer verlag behavior analysi object orient databas method structur execut tree reachabl extend abstract r hull m yoshikawa',213
'tran ipsj design problem unnorm relat util semant constraint relat databas japanes y kambayashi k takeda s yajima',213
'tran ipsj interfer problem between relat queri depend constraint japanes y kambayashi',213
'springer verlag problem relat databas design lectur note comput scienc y kambayashi s yajima',213
'tran iec e properti embed multivalu depend relat databas y kambayashi s yajima',213
'proc th int conf system scienc u s represent relat databas output util depend y kambayashi k takeda s yajima',213
'proc ieee rd int comput softwar applic conf us abstract characterist relat databas y kambayashi s yajima',213
'proc ieee rd int comput softwar applic conf semant aspect depend their applic relat databas design y kambayashi s yajima',213
'inform scienc elsevi scienc pub inc synthesi unnormal relat incorpor more mean y kambayashi k takeda',213
'int j cooper inf syst infolod landmark spatial present attribut inform comput repres object spatial h kawagishi k koiso t matsumoto t mori',213
'tran the institut system control inform engin design implement orient medicin expert japanes s kitamura',213
'academ press proc conf consecut retriev properti tree structur organ consecut retriev properti base file organ nan',213
'proc the th ieee annual int comput softwar applic conf visibl control orient medicin expert s kitamura s tsuji',213
'springer verlag dood deduct object orient databas s ceri d tsur',213
'proc int symp next gener databas system their applic nda fukuoka cpp obas object databas model toward more flexibl object orient databas s nishio',213
'proc the jssst object orient comput workshop appear object orient comput i kindai kagakusha continu object model multi media databas japanes e oomoto',213
'databas system next gener applic advanc databas research develop seri world scientif publish design implement visual queri languag histor databas e oomoto',213
