
 Results 
=====

Correctly Classified Instances         439               76.2153 %
Incorrectly Classified Instances       137               23.7847 %
Kappa statistic                          0.7312
K&B Relative Info Score              39973.9208 %
K&B Information Score                 1550.5035 bits      2.6918 bits/instance
Class complexity | order 0            2194.0746 bits      3.8092 bits/instance
Class complexity | scheme            77713.5339 bits    134.9193 bits/instance
Complexity improvement     (Sf)     -75519.4594 bits   -131.1102 bits/instance
Mean absolute error                      0.0209
Root mean squared error                  0.1255
Relative absolute error                 30.0314 %
Root relative squared error             67.4489 %
Coverage of cases (0.95 level)          84.7222 %
Mean rel. region size (0.95 level)      12.0326 %
Total Number of Instances              576     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.889    0.002    0.889      0.889    0.889      0.887    0.944     0.891     0
                 0.625    0.002    0.833      0.625    0.714      0.718    0.862     0.510     1
                 0.737    0.009    0.848      0.737    0.789      0.777    0.910     0.743     2
                 0.286    0.002    0.667      0.286    0.400      0.432    0.701     0.192     3
                 0.714    0.002    0.833      0.714    0.769      0.769    0.839     0.599     4
                 0.791    0.006    0.919      0.791    0.850      0.842    0.935     0.843     5
                 0.429    0.007    0.429      0.429    0.429      0.422    0.731     0.281     6
                 0.750    0.000    1.000      0.750    0.857      0.865    0.875     0.752     7
                 0.875    0.000    1.000      0.875    0.933      0.935    0.926     0.877     8
                 0.000    0.002    0.000      0.000    0.000      -0.003   0.795     0.034     9
                 0.944    0.154    0.586      0.944    0.723      0.672    0.901     0.565     10
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.422     0.005     11
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.608     0.337     13
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.498     0.003     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.499     0.003     15
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.715     0.017     17
                 0.811    0.019    0.895      0.811    0.851      0.825    0.923     0.837     18
                 0.710    0.017    0.710      0.710    0.710      0.693    0.935     0.702     19
                 0.810    0.016    0.864      0.810    0.836      0.817    0.932     0.811     20
                 0.750    0.005    0.875      0.750    0.808      0.801    0.872     0.729     21
                 0.822    0.013    0.841      0.822    0.831      0.817    0.916     0.760     22
                 0.476    0.004    0.833      0.476    0.606      0.620    0.789     0.412     23
                 0.714    0.007    0.789      0.714    0.750      0.742    0.925     0.681     24
                 0.308    0.002    0.800      0.308    0.444      0.490    0.764     0.406     25
Weighted Avg.    0.762    0.038    0.779      0.762    0.756      0.737    0.894     0.688     
