@relation 'Dataset dblp publish-venue_title_co-authors slee'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86}
@data
'pacif confer comput graphic applic shape adapt d mesh simplif base local optim measur in kyu park sang wook lee',10
'ieee transact pattern analysi machin intellig integr posit estim us aerial imag sequenc dong gyu sim ihn cheol kim rae hong park rin chul kim',10
'ieee transact system man cybernet part b model algorithm effici multiresolut topolog estim measur d rang data in kyu park kyoung mu lee',10
'accv asian confer comput vision color normal algorithm imag index il dong yun in kyu park',10
'icip intern confer imag process effici motion compens algorithm base second order predict chang su kim seung hwan kim',10
'icip intern confer imag process robust transmiss video noisi channel us pariti motion vector chang su kim rin chul kim',10
'ieee transact pattern analysi machin intellig integr posit estim us aerial imag sequenc dong gyu sim ihn cheol kim rae hong park rin chul kim',10
'ieee intern confer multimedia expo rotat invari face detect us model base cluster algorithm byeong hwan jeon kyung mu lee',10
'isca ieee intern symposium circuit system lost motion vector recoveri algorithm choon soo park jongchul ye',10
'isca ieee intern symposium circuit system d subband video code techniqu us adapt wavelet packet base yong kwan kim',10
'isca ieee intern symposium circuit system design fir filter discret coeffici space applic hdtv signal process kiho kim nam ik cho',10
'isca ieee intern symposium circuit system perform analysi subband adapt digit filter nam ik cho yoon gi yang',10
'icip intern confer imag process perceptu group d featur aerial imag us decis tree classifi in kyu park kyoung mu lee',10
'icip intern confer imag process geometr model scatter d rang data in kyu park',10
'icip intern confer imag process multi imag match gener motion stereo camera model ja seong ku kyoung mu lee',10
'icip intern confer imag process recoveri d shape us hybrid reflect model eunjin jung il dong yun',10
'icip intern confer imag process split merg segment emploi threshold techniqu hee soo yang',10
'icip intern confer imag process robust transmiss video noisi channel us pariti motion vector chang su kim rin chul kim',10
'icip intern confer imag process unsupervis segment textur imag us markov random field random spatial interact il dong yun jeong hee kim',10
'icip intern confer imag process model base object recognit us hausdorff distanc explicit pair il dong yun inseo han',10
'icpr intern confer pattern recognit recognit reconstruct d object us model base perceptu group in kyu park kyoung mu lee',10
'dexa databas expert system applic improv integr constraint check stratifi deduct databas tok wang ling',11
'dexa databas expert system applic refin termin decis activ databas tok wang ling',11
'dexa databas expert system applic verifi updat trigger correct tok wang ling',11
'dexa databas expert system applic rang max min queri olap data cube hua gang li tok wang ling',11
'dexa databas expert system applic design semistructur databas conceptu approach gillian dobbie leonid a kalinichenko mong li lee tok wang ling',11
'dexa databas expert system applic rang top bottom k queri olap spars data cube bin cui chuan heng ang tok wang ling zhongwei luo',11
'dexa databas expert system applic adapt method rang top k queri olap data cube chuan heng ang tok wang ling zheng xuan loh',11
'dexa databas expert system applic updat feder databas system mong li lee tok wang ling',11
'dexa databas expert system applic deduct object orient databas system boon tun wee tok wang ling',11
'dexa databas expert system applic variabl size partit rang queri algorithm hua gang li tok wang ling wai chong low zhong wei luo',11
'vldb larg data base improv integr constraint check stratifi deduct databas tok wang ling',11
'vldb larg data base unrol cycl decid trigger termin tok wang ling',11
'vldb larg data base hierarch compact cube rang max queri hua gang li tok wang ling',11
'coda second intern symposium cooper databas system advanc applic rang sum queri dynam olap data cube hua gang li tok wang ling zheng xuan loh',11
'dexa databas expert system applic trigger rule correct tok wang ling',11
'dasfaa databas system advanc applic improv integr check exist constraint tok wang ling',11
'edbt extend databas technolog path remov techniqu detect trigger termin tok wang ling',11
'er intern confer conceptu model entiti relationship approach workshop nf ss normal form semistructur schema gillian dobbie mong li lee tok wang ling xiaoying wu',11
'esor european symposium research comput secur learn fingerprint databas intrus detect system pei yuen wong wai lup low',11
'er intern confer conceptu model entiti relationship approach design good semi structur databas conceptu model leonid a kalinichenko mong li lee tok wang ling',11
'cikm intern confer inform knowledg manag analysi pre comput partit top method rang top k queri olap data cube chuan heng ang tok wang ling zheng xuan loh',11
'ieic transact inform system d user feedback driven document cluster techniqu inform organ h kim s g lee',12
'proceed confer advanc intellig system automat mainten evolv topic structur intellig inform system h kim s g lee',12
'proceed th australasian databas confer autom data wareh rule base crm system h kim t lee s g lee j chun',12
'proceed human societi internet confer lectur note comput scienc doc distribut object cach system inform infrastructur t lee j shim s g lee',12
'proceed advanc issu web base inform system digit catalog librari share repositori onlin catalog electron commerc s g lee d kim c wu',12
'human societi internet framework winner determin algorithm internet auction juhnyoung lee',12
'inform softwar technolog semant queri reformul deduct databas s g lee l henschen j chun t lee',12
'journal high speed network telemedicin challeng opportun s g lee s mun p jha b levine d ro',12
'proceed softwar architectur compon compon base architectur digit catalog librari system g park j oh k kim s g lee c wu',12
'icd intern confer data engin semant queri reformul deduct databas ghassan z qadah lawrence j henschen',12
'human societi internet doc distribut object cach system inform infrastructur junho shim taehee lee',12
'network workshop server placement algorithm consciou commun delai reloc cost junho shim taehee lee',12
'proceed web engin confer lectur note comput scienc server placement algorithm consciou commun delai reloc cost j shim t lee',12
'human societi internet catalog share catalog interoper chisu wu geunduk park jaewon oh kapsoo kim',12
'wecwi advanc issu web base inform system digit catalog librari share repositori onlin catalog electron commerc chisu wu dongkyu kim kapsoo kim woochang shin',12
'dolap intern data wareh olap queri reformul us materi view data wareh environ jae young chang',12
'inf process lett extend condit answer aggreg queri us materi view jae young chang',12
'dexa databas expert system applic extend queri reformul techniqu us materi view jae young chang',12
'adl advanc digit librari boolean queri process result cach mediat system jae heon cheong',12
'proceed ieee advanc digit librari cach base queri process keyword base boolean queri model mediat j cheong s g lee',12
'dexa databas expert system applic method process boolean queri us result cach jae heon cheong jonghoon chun',12
'compsac intern comput softwar applic confer logic databas system extend function dong hoon choi',12
'journal american medic informat associ dbm base medic teleconfer system j chun h kim s g lee j choi h cho',12
'proceed american medic informat associ confer implement mobil comput system clinic environ mobilenurs tm s hyun j choi j chun s g lee d shin',12
